1|< 1 לל|77|< 1 לל|          |- |-     |-     |subhead mult2|Ñגונכא ןמ לועאככף|, בûסענמנוזףשאÿ סעאכü, צטכטםהנטקוסךטי ץגמסעמגטך|Öוםא ס ÍÄÑ חא ףןאךמגךף||/img/pic/drill/small/sverla po metallu.jpg|/img/pic/drill/big/sverla po metallu.jpg
0| 4.9 לל|77| 4.9 לל|71549 |10| 105,00|  95,00

1|5 לל|77|5 לל|              |- |-     |-     |subhead mult2 next|
0| 5.0 לל|77| 5.0 לל|71550 |10| 118,00| 105,00
0| 5.2 לל|77| 5.2 לל|71552 |10| 125,00| 115,00
0| 5.5 לל|77| 5.5 לל|71555 |10| 135,00| 125,00
0| 5.9 לל|77| 5.9 לל|71559 |10| 148,00| 139,00
0|6 לל|77|6 לל|              |- |-     |-     |subhead|
0| 6.0 לל|77| 6.0 לל|71560 |10| 155,00| 144,00
0| 6.2 לל|77| 6.2 לל|71562 |10| 158,00| 145,00
0| 6.5 לל|77| 6.5 לל|71565 |10| 195,00| 178,00
0|7-10 לל|77|7-10 לל|        |- |-     |-     |subhead|
0| 7.0 לל|77| 7.0 לל|71570 |10| 210,00| 195,00
0| 7.5 לל|77| 7.5 לל|71575 |10| 225,00| 210,00
0| 8.0 לל|77| 8.0 לל|722805| 5| 110,00|  95,00
0| 8.0 לל|77| 8.0 לל|71580 |10| 245,00| 229,00
0| 8.5 לל|77| 8.5 לל|      | 5| 135,00| 119,00
0| 8.5 לל|77| 8.5 לל|71585 |10| 265,00| 255,00
0| 9.0 לל|77| 9.0 לל|      | 5| 145,00| 125,00
0| 9.0 לל|77| 9.0 לל|71590 |10| 285,00| 275,00
0| 9.5 לל|77| 9.5 לל|71595 |10| 315,00| 295,00
0|10,0 לל|77|10,0 לל|      | 5| 165,00| 145,00
0|10.0 לל|77|10.0 לל|71599 |10| 335,00| 315,00
0|> 10 לל|77|> 10 לל|        |- |-     |-     |subhead|
0|11.0 לל|77|11.0 לל|72010 | 5| 225,00| 205,00
0|11.5 לל|77|11.5 לל|72015 | 5| 255,00| 239,00
0|12.0 לל|77|12.0 לל|72020 | 5| 285,00| 275,00
0|12.5 לל|77|12.5 לל|72025 | 5| 315,00| 300,00
0|13.0 לל|77|13.0 לל|72030 | 5| 325,00| 315,00
0|13.5 לל|77|13.5 לל|      | 5| 345,00| 325,00
0|14.0 לל|77|14.0 לל|72040 | 5| 415,00| 395,00
0|14.5 לל|77|14.5 לל|      | 5| 475,00| 455,00
0|15.0 לל|77|15.0 לל|72050 | 5| 525,00| 495,00
0|15.5 לל|77|15.5 לל|      | 5| 565,00| 545,00
0|16.0 לל|77|16.0 לל|72060 | 5| 665,00| 645,00
0|17.0 לל|77|17.0 לל|      | 5| 820,00| 790,00
0|18.0 לל|77|18.0 לל|72080 | 5| 995,00| 975,00
0|20.0 לל|77|20.0 לל|72099 | 5|1240,00|1220,00

1|1-10 לל (קונוח 0.5 לל) HSS|77|1-10 לל (קונוח 0.5 לל) HSS||19|299,00|279,00||Íאבמנû סגונוכ ןמ לועאככף|<br>Ìועאככטקוסךאÿ ךמנמבךא|||/img/pic/drill/small/NABOE SVEREL PO METALLU.jpg|/img/pic/drill/big/NABOE SVEREL PO METALLU.jpg
0|1-10 לל (קונוח 0.5 לל) + 3.2 לל + 4.8 לל HSS|77|1-10 לל (קונוח 0.5 לל) + 3.2 לל + 4.8 לל HSS||21|320,00|300,00
