1|1-2 לל            |77|1-2 לל            |- |-     |-     |subhead mult2|Ñגונכא ןמ לועאככף|, בûסענמנוזףשאÿ סעאכü, צטכטםהנטקוסךטי ץגמסעמגטך|Öוםא ס ÍÄÑ חא ףןאךמגךף||/img/pic/drill/small/sverla po metallu.jpg|/img/pic/drill/big/sverla po metallu.jpg
0|&nbsp;&nbsp;5.0 לל|77|&nbsp;&nbsp;5.0 לל|10|111,00|105,00
0|&nbsp;&nbsp;5.2 לל|77|&nbsp;&nbsp;5.2 לל|10|115,00|109,00
0|&nbsp;&nbsp;5.5 לל|77|&nbsp;&nbsp;5.5 לל|10|125,00|119,00
0|&nbsp;&nbsp;6.0 לל|77|&nbsp;&nbsp;6.0 לל|10|129,00|122,00
0|&nbsp;&nbsp;6.2 לל|77|&nbsp;&nbsp;6.2 לל|10|129,00|129,00
0|&nbsp;&nbsp;6.5 לל|77|&nbsp;&nbsp;6.5 לל|10|139,00|133,00
0|&nbsp;&nbsp;7.0 לל|77|&nbsp;&nbsp;7.0 לל|10|153,00|146,00
0|&nbsp;&nbsp;7.5 לל|77|&nbsp;&nbsp;7.5 לל|10|169,00|161,00
0|&nbsp;&nbsp;8.0 לל|77|&nbsp;&nbsp;8.0 לל|10|189,00|181,00
0|&nbsp;&nbsp;8.5 לל|77|&nbsp;&nbsp;8.5 לל|10|219,00|200,00
0|&nbsp;&nbsp;9.0 לל|77|&nbsp;&nbsp;9.0 לל|10|239,00|221,00
0|&nbsp;&nbsp;9.5 לל|77|&nbsp;&nbsp;9.5 לל|10|248,00|238,00
0|10.0 לל           |77|10.0 לל           |10|299,00|279,00
0|10.0 לל           |77|10.0 לל           |5 |155,00|140,00
0|> 10 לל           |77|> 10 לל           |- |-     |-     |subhead|
0|11.0 לל           |77|11.0 לל           |5 |189,00|179,00
0|11.5 לל           |77|11.5 לל           |5 |199,00|189,00
0|12.0 לל           |77|12.0 לל           |5 |219,00|200,00
0|12.5 לל           |77|12.5 לל           |5 |269,00|259,00
0|13.0 לל           |77|13.0 לל           |5 |299,00|289,00
0|13.5 לל           |77|13.5 לל           |5 |318,00|300,00
0|14.0 לל           |77|14.0 לל           |5 |398,00|378,00
0|14.5 לל           |77|14.5 לל           |5 |447,00|427,00
0|15.0 לל           |77|15.0 לל           |5 |575,00|555,00
0|15.5 לל           |77|15.5 לל           |5 |699,00|678,00
0|16.0 לל           |77|16.0 לל           |5 |828,00|798,00
0|18.0 לל           |77|18.0 לל           |5 |939,00|919,00
0|20.0 לל           |77|20.0 לל           |5 |999,00|959,00

1|1-10 לל (קונוח 0.5 לל) HSS|77|1-10 לל (קונוח 0.5 לל) HSS|19|299,00|279,00||Íאבמנû סגונוכ ןמ לועאככף|<br>Ìועאככטקוסךאÿ ךמנמבךא|||/img/pic/drill/small/NABOE SVEREL PO METALLU.jpg|/img/pic/drill/big/NABOE SVEREL PO METALLU.jpg
0|1-10 לל (קונוח 0.5 לל) + 3.2 לל + 4.8 לל HSS|77|1-10 לל (קונוח 0.5 לל) + 3.2 לל + 4.8 לל HSS|21|320,00|300,00
