# 274,cat274|Краскораспылитель пневматический
 1|Краскораспылитель пневматический с ВЕРХНИМ бачком|274|57315|798|788|777||norow|Краскораспылитель пневматический| MATRIX с ВЕРХНИМ бачком 1.0 л, сменные сопла 1.2, 1.5, 1.8 мм <span class=art>арт. 57315</span>|</span><span class="for">Для нанесения защитных, декоративных, изоляционных покрытий на различные поверхности: пластик, металл, дерево, керамику</span><span class="addt">Применяется при проведении наружных и внутренних отделочных работ, окраске металлоконструкций в автосервисах, нанесении пожаростойких составов.||/img/pic/shmal/small/57315.jpg|/img/pic/shmal/big/57315.jpg
 1|Кисти плоские                                            |148|01-1-210| 39,98| 38,00| 37,00|535|norow|| "Евро-пласт"|</span><span class="for">Для всех типов лакокрасочных материалов</span></p><UL><LI>Натуральная светлая щетина.<LI>Пластиковая рукоятка</UL><p><span class="addt">||/img/pic/shmal/small/01-1-210.jpg|/img/pic/shmal/big/01-1-210.jpg
 0|Кисть флейцевая 1.0&Prime; &numsp;(25 мм) "Евро-пласт"   |148|01-1-210| 33,90| 32,90| 31,90|535|
 0|Кисть флейцевая 1.5&Prime; &numsp;(38 мм) "Евро-пласт"   |148|01-1-215| 45,90| 44,00| 42,00|535|
 0|Кисть флейцевая 2.0&Prime; &numsp;(50 мм) "Евро-пласт"   |148|01-1-220| 66,90| 65,00| 63,00|535|
 0|Кисть флейцевая 2.5&Prime; &numsp;(63 мм) "Евро-пласт"   |148|01-1-225| 89,90| 86,90| 85,00|535|
 0|Кисть флейцевая 3.0&Prime; &numsp;(75 мм) "Евро-пласт"   |148|01-1-230|121,00|118,00|114,00|535|
 0|Кисть флейцевая 4.0&Prime; (100 мм)       "Евро-пласт"   |148|01-1-240|159,00|155,00|152,00|535|

# 567,cat567 -># 569,cat569|Кисти ПЛОСКИЕ с деревянной рукояткой !Кисти плоские ПРОФИ серии 54 !Для красок и лаков на основе растворителей
 1|Кисти плоские флейцевые КФ                               |567|01-1-310| 32,98| 31,00| 30,00|569|norow|| ПРОФИ, REMOCOLOR|</span><span class="for">Для обработки (флейцевания) свежеокрашенных поверхностей путем сглаживания следов кисти.<br>Подходят для всех типов лаков и красок</span></p><UL><LI>натуральная светлая щетина<LI>деревянная рукоятка</UL><p><span class="addt">||/img/pic/shmal/small/01-1-320.jpg|/img/pic/shmal/big/01-1-320.jpg
 0|Кисть плоская флейцевая 1.0&Prime; &numsp;(25 мм) ПРОФИ  |567|01-1-310| 37,90| 36,90| 35,00|569|
 0|Кисть плоская флейцевая 1.5&Prime; &numsp;(38 мм) ПРОФИ  |567|01-1-315| 49,90| 47,90| 46,00|569|
 0|Кисть плоская флейцевая 2.0&Prime; &numsp;(50 мм) ПРОФИ  |567|01-1-320| 73,00| 71,00| 69,00|569|
 0|Кисть плоская флейцевая 2.5&Prime; &numsp;(63 мм) ПРОФИ  |567|01-1-325|105,00|102,00| 99,00|569|
 0|Кисть плоская флейцевая 3.0&Prime; &numsp;(75 мм) ПРОФИ  |567|01-1-330|147,00|144,00|141,00|569|
 0|Кисть плоская флейцевая 4.0&Prime; (100 мм)       ПРОФИ  |567|01-1-340|185,00|181,00|177,00|569|

# 568,cat568 -># 570,cat570|Кисти ПЛОСКИЕ флейцевые ЭКОНОМ !Кисти плоские серий 42 и 43 !Для лаков и акриловых красок
 1|Кисти плоские флейцевые КФ                               |568|BP.ES.34| 10,98| 10,65| 10,25|570|norow|| ЭКОНОМ СТАНДАРТ|</span><span class="for">Для обработки (флейцевания) свежеокрашенных поверхностей путем сглаживания следов кисти.<br>Подходят для всех типов лаков и красок||/img/pic/shmal/small/ECONOM.jpg|/img/pic/shmal/big/ECONOM.jpg
 0|Кисть флейцевая 0.75&Prime;       (20 мм) ЭКОНОМ СТАНДАРТ|568|BP.ES.34| 17,88| 17,42| 16,86|570|
 0|Кисть флейцевая 1.0&Prime; &numsp;(25 мм) ЭКОНОМ СТАНДАРТ|568|BP.ES.10| 20,64| 19,62| 19,26|570|
 0|Кисть флейцевая 1.5&Prime; &numsp;(38 мм) ЭКОНОМ СТАНДАРТ|568|BP.ES.15| 26,14| 25,69| 24,76|570|
 0|Кисть флейцевая 2.0&Prime; &numsp;(50 мм) ЭКОНОМ СТАНДАРТ|568|BP.ES.20| 33,02| 32,01| 31,65|570|
 0|Кисть флейцевая 2.5&Prime; &numsp;(63 мм) ЭКОНОМ СТАНДАРТ|568|BP.ES.25| 41,29| 40,56| 39,91|570|
 0|Кисть флейцевая 3.0&Prime; &numsp;(75 мм) ЭКОНОМ СТАНДАРТ|568|BP.ES.30| 52,31| 50,93| 49,56|570|
 0|Кисть флейцевая 4.0&Prime; (100 мм)       ЭКОНОМ СТАНДАРТ|568|BP.ES.40| 68,83| 66,44| 66,08|570|
 
# 322,cat322 -># 538,cat538|Кисти макловицы !Для красок, побелок, грунтов, обойного клея
 1|Кисти макловицы, натуральная щетина, деревянная рукоятка  |322|02-2-000     | 68,98| 66,00| 65,00|538|norow|||</span><span class="for strong">Для всех типов лакокрасочных материалов</span>||/img/pic/shmal/small/02-2-207.jpg|/img/pic/shmal/big/02-2-207.jpg
 0|Кисть макловица&numsp; 70 х 30 мм                         |322|02-2-207     | 98,00| 96,00| 94,00|538
 0|Кисть макловица&numsp; 90 х 30 мм                         |322|02-2-209     |125,00|122,00|119,00|538
 0|Кисть макловица       110 х 30 мм                         |322|02-2-211     |138,00|134,00|131,00|538
 0|Кисть макловица       130 х 30 мм                         |322|02-2-213     |155,00|152,00|149,00|538
 0|Кисть макловица       140 х 40 мм                         |322|02-2-214     |229,00|222,00|216,00|538
 0|Кисть макловица       150 х 50 мм                         |322|02-2-215     |275,00|268,00|262,00|538
 1|Кисть макловица ИРВ 140&nbsp;мм HOBBI                     |322|02-0-000     | 65,98| 64,00| 62,00|538|norow|Кисти макловицы ИРВ| HOBBI|</span><span class="for strong">Для нанесения грунтовок</span></p><UL><LI>Деревянный корпус прямоугольной формы.<LI>Ворс из искусственного расщепленного волокна длиной 70мм.<LI>Съемная пластмассовая рукоятка имеет отверстие для подвешивания, а также специальное приспособление для крепления на емкость.</UL><p><span class="addt">||/img/pic/shmal/small/02-0-000.jpg|/img/pic/shmal/big/02-0-000.jpg
 0|Кисть макловица ИРВ 140&nbsp;мм HOBBI                     |322|02-0-000     |125,00|122,00|119,00|538
 0|Кисть макловица ИРВ 150&nbsp;мм HOBBI                     |322|02-0-001     |139,00|135,00|132,00|538
 0|Кисть макловица ИРВ 170&nbsp;мм HOBBI                     |322|02-0-002     |155,00|152,00|149,00|538
 0|Кисть макловица ИРВ 180&nbsp;мм HOBBI                     |322|02-0-003     |169,00|165,00|161,00|538
 1|Кисть макловица круглая "Kwast" 120 мм                    |322|0290-88.00.12|390,00|390,00|390,00|538|norow ltd one|| HARDY (Польша) <span class=art>арт. 0290-88.00.12</span>|</span></p><UL><LI>искусственный волос (полиэстер)<LI>деревянный корпус<LI>пластиковая ручка с отверстием для подвешивания</UL><p><span class="addt">||/img/pic/shmal/small/0290-88.jpg|/img/pic/shmal/big/0290-88.jpg
 0|Кисть макловица круглая "Kwast" 120 мм HARDY              |322|0290-88.00.12|390,00|390,00|390,00|538
#1|Кисть макловица "Silverpren" 170 х 75 мм для грунтовок    |322|0239.88.00.18|298,00|292,00|288,00|538|norow ltd one|| HARDY (Польша) <span class=art>арт. 0239.88.00.18</span>|</span></p><UL><LI>Стойкая к воздействию растворителей.<LI>Для грунтовочных работ.</UL><p><span class="addt">||/img/pic/shmal/small/0239-880018.jpg|/img/pic/shmal/big/0239-880018.jpg
#0|Кисть макловица "Silverpren" 170 х 75 мм для грунтовок    |322|0239.88.00.18|360,58|353,32|348,48|538
#1|Кисть макловица HARDY с.84 100 х 30 мм, длина волоса 56 мм|322|0244.84.56.10|179|173|168|538|norow|Кисти макловицы| HARDY "Mini" (Польша), серия 84|</span><span class="for strong">Для акриловых красок</span></p><UL><LI>Смесь светлой щетины китайской свиньи и полиэстера.</UL><p><span class="addt">||/img/pic/shmal/small/0244-846012.jpg|/img/pic/shmal/big/0244-846012.jpg
#0|Кисть макловица HARDY с.84 100 х 30 мм, длина волоса 56 мм|322|0244.84.56.10|179|173|168|538
#0|Кисть макловица HARDY с.84 120 х 30 мм, длина волоса 60 мм|322|0244.84.60.12|248|239|233|538
#0|Кисть макловица HARDY с.84 150 х 40 мм, длина волоса 60 мм|322|0244.84.66.15|348|339|328|538
#1|Кисть макловица HARDY с.80 100 х 30 мм, длина волоса 56 мм|322|0241.80.60.10|333|325|316|538|norow|Профессиональные кисти макловицы| HARDY "Mini" (Польша), серия 80|</span><span class="for strong">Для акриловых красок</span></p><UL><LI>Специальная дважды вываренная черная щетина китайской свиньи (топс 90%), стабилизированная полиэстером.</UL><p><span class="addt">||/img/pic/shmal/small/0241-806010.jpg|/img/pic/shmal/big/0241-806010.jpg
#0|Кисть макловица HARDY с.80 100 х 30 мм, длина волоса 60 мм|322|0241.80.60.10|333|325|316|538
#0|Кисть макловица HARDY с.80 120 х 30 мм, длина волоса 65 мм|322|0241.80.65.12|438|425|412|538
#1|Кисть макловица круглая 108 мм                            |322|02-1-100     |109|104| 98|538|norow|| (маховая) HOBBI <span class=art>арт. 02-1-100</span>|</span><span class="for"> Для работы с водно-дисперсионными красками, нанесения клеящих составов, грунтовки поверхностей, для смывки побелки с потолков и нанесения побелки на потолки</span></p><UL><LI>Изготовлена из искусственной щетины длиной 70 мм, ворс расщепленный на концах.<LI>Щетина надежно впрессована в пластмассовое основание.<LI>Пластмассовая съёмная ручка, имеет полость для крепления телескопического стержня или черенка, что позволяет работать в труднодоступных местах.</UL><p><span class="addt">||/img/pic/shmal/small/02-1-100.jpg|/img/pic/shmal/big/02-1-100.jpg
#0|Кисть макловица круглая 108 мм HOBBI                      |322|02-1-100     |109|104| 98|538
#1|Кисть макловица ИРВ 140&nbsp;х&nbsp;50&nbsp;мм HOBBI      |322|02-0-000     | 85| 81| 78|538|norow|Кисти макловицы ИРВ| HOBBI|</span><span class="for strong">Для нанесения грунтовок</span></p><UL><LI>Деревянный корпус прямоугольной формы.<LI>Ворс из искусственного волокна длиной 70мм.<LI>Съемная пластмассовая рукоятка имеет отверстие для подвешивания, а также специальное приспособление для крепления на емкость.</UL><p><span class="addt">||/img/pic/shmal/small/02-0-000.jpg|/img/pic/shmal/big/jpg
#0|Кисть макловица ИРВ 140&nbsp;х&nbsp;50&nbsp;мм HOBBI      |322|02-0-000     | 85| 81| 78|538
#0|Кисть макловица ИРВ 150&nbsp;х&nbsp;70&nbsp;мм HOBBI      |322|02-0-001     | 96| 91| 86|538
#0|Кисть макловица ИРВ 170&nbsp;х&nbsp;70&nbsp;мм HOBBI      |322|02-0-002     |118|113|109|538
#0|Кисть макловица ИРВ 180&nbsp;х&nbsp;80&nbsp;мм HOBBI      |322|02-0-003     |129|122|117|538
#1|Кисть макловица 50&nbsp;х&nbsp;150&nbsp;мм                |322|02-2-015     |198|192|186|538|norow|| "Мини" HOBBI <span class=art>арт. 02-2-015</span>|Применяется для обработки поверхностей большой площади, обеспечивая повышенный забор материала и его равномерное распределение.</span></p><UL><LI>Никелированный бандаж, пластмассовый корпус прямоугольной формы.<LI>Ворс из натуральной светлой свиной щетины, расщеплен на конце.<LI>Съемная пластмассовая рукоятка, утолщенная в зоне охвата, имеет отверстие для подвешивания, а также специальное приспособление для крепления на емкость.</UL><p><span class="addt">||/img/pic/shmal/small/makl-hobbi.jpg|/img/pic/shmal/big/02-2-015.jpg
#0|Кисть макловица 50&nbsp;х&nbsp;150&nbsp;мм "Мини" HOBBI   |322|02-2-015     |198|192|186|538
#1|Кисти макловицы                                           |322|841025       |125|115|110|538|norow|| SPARTA|</span></p><UL><LI>Пластиковый корпус, натуральная щетина.<LI>Пластиковая рукоятка с утолщением в зоне охвата, зацепом для крепления на емкость и отверстием для подвешивания.</UL><p><span class="addt">||/img/pic/shmal/small/mak841025.jpg|/img/pic/shmal/big/jpg
#0|Кисть макловица 100 х 30 мм SPARTA                        |322|841025       |118|112|102|538
#0|Кисть макловица 140 х 50 мм SPARTA                        |322|841065       |198|192|188|538
#0|Кисть макловица 150 х 70 мм SPARTA                        |322|841075       |219|206|198|538
#1|Кисть макловица 150 х 50 мм                               |322|84129        |265|250|235|538|norow|| MATRIX MASTER <span class=art>арт. 84129</span>|</span></p><UL><LI>Пластиковый корпус, искусственная щетина, расщепленная на концах.<LI>Пластиковая рукоятка, утолщенная в зоне охвата, имеет отверстие для подвешивания, а также специальное приспособление для крепления на емкость.</UL><p><span class="addt">||/img/pic/shmal/small/Kist MAKLOVICA.jpg|/img/pic/shmal/big/Kist MAKLOVICA.jpg
#0|Кисть макловица 150 х 50 мм MATRIX MASTER                 |322|84129        |265|250|235|538
#1|Кисть макловица                                           |322|02-2-015|198|192|185|||| 50&nbsp;х&nbsp;150&nbsp;мм, HOBBI <span class=art>арт. 02-2-015</span>|</span></p><UL><LI>Пластиковый корпус прямоугольной формы, натуральная свиная щетина, расщепленная на концах.<LI>Съемная пластмассовая рукоятка, утолщенная в зоне охвата, имеет отверстие для подвешивания, а также специальное приспособление для крепления на емкость.</UL><p><span class="addt">||/img/pic/shmal/small/makl-hobbi.jpg|/img/pic/shmal/big/jpg
#1|Кисть макловица                                           |322|841025  | 85| 82| 79|||| 100&nbsp;х&nbsp;30&nbsp;мм, SPARTA <span class=art>арт. 841025</span>|</span></p><UL><LI>Пластиковый корпус, натуральная щетина, расщепленная на концах.<LI>Пластиковая рукоятка, утолщенная в зоне охвата, имеет отверстие для подвешивания, а также специальное приспособление для крепления на емкость.</UL><p><span class="addt">||/img/pic/shmal/small/841025.jpg|/img/pic/shmal/big/jpg

# 149,cat149 -># 536,cat536|Кисти круглые !Для акриловых лаков и красок
 1|Кисти круглые                                                           |149|             | 96,95| 94,45| 93,00|536|norow|| HOBBI&nbsp;/<span class="blue">&nbsp;REMOCOLOR,</span> деревянная рукоятка|</span><span class="for strong">Для всех типов ЛКМ</span></p><UL><LI>Натуральная светлая щетина.</UL><p><span class="addt">||/img/pic/shmal/small/01-0-104.jpg|/img/pic/shmal/big/01-0-104.jpg
 0|Кисть круглая №&numsp;4 (25 мм), деревянная рукоятка, пластиковый корпус|149|01-0-104     | 48,00| 46,00| 44,00|536|
 0|Кисть круглая №&numsp;6 (30 мм), деревянная рукоятка, пластиковый корпус|149|01-0-106     | 54,00| 52,00| 50,00|536|
 0|Кисть круглая №10     (40 мм), деревянная рукоятка, металлический корпус|149|01-0-210     |156,00|152,00|149,00|536|blue
 0|Кисть круглая №14     (50 мм), деревянная рукоятка, металлический корпус|149|01-0-214     |198,00|194,00|191,00|536|blue
 0|Кисть круглая №16     (55 мм), деревянная рукоятка, металлический корпус|149|01-0-216     |248,00|242,00|237,00|536|blue
 0|Кисть круглая №20       (65 мм), деревянная рукоятка, пластиковый корпус|149|01-0-120     |278,00|269,00|260,00|536|
 0|Кисть круглая №20     (65 мм), деревянная рукоятка, металлический корпус|149|01-0-220     |298,00|289,00|280,00|536|blue
#1|Кисть круглая HARDY с.21                                                |149|0214-21.62.04| 96,95| 94,45| 93,00|536|norow ltd|Кисти круглые| HARDY (Польша), серия 21 PROFI - синяя щетина|</span><span class="for strong">Для акриловых лаков и красок</span></p><UL><LI>Специальная щетина наивысшего качества.<LI>Топ 90%.<LI>Двойное крепление волоса.<LI>Нелакированная деревянная рукоятка.</UL><p><span class="addt">||/img/pic/shmal/small/0214-21.jpg|/img/pic/shmal/big/0214-21.jpg
#0|Кисть круглая HARDY с.21 №&numsp;4 (25 мм), дл. волоса 62 мм, цвет синий|149|0214-21.62.04|109,00|105,00|101,00|536|
#0|Кисть круглая HARDY с.21 №&numsp;6 (30 мм), дл. волоса 70 мм, цвет синий|149|0214-21.70.06|176,12|171,36|167,79|536|
#0|Кисть круглая HARDY с.21 №&numsp;8 (35 мм), дл. волоса 76 мм, цвет синий|149|0214-21.76.08|213,01|207,06|199,92|536|
#0|Кисть круглая HARDY с.21 №10       (40 мм), дл. волоса 80 мм, цвет синий|149|0214-21.80.10|267,75|264,18|257,04|536|
#0|Кисть круглая HARDY с.21 №12       (45 мм), дл. волоса 80 мм, цвет синий|149|0214-21.80.12|343,91|335,58|327,25|536|
#0|Кисть круглая HARDY с.11 №&numsp;4 (25 мм), дл. волоса 41 мм, цвет корич|149|0215-11.41.04| 46,41| 44,03| 42,84|536|blue
#0|Кисть круглая HARDY с.11 №&numsp;8 (35 мм), дл. волоса 47 мм, цвет корич|149|0215-11.47.08|117,81|115,43|111,86|536|blue
#0|Кисть круглая HARDY с.11 №10       (40 мм), дл. волоса 47 мм, цвет корич|149|0215-11.47.10|136,85|133,28|128,52|536|blue
#1|Кисть Профи №&nbsp;&nbsp;2 - &nbsp;&nbsp;20&nbsp;мм         |149|KIK02   | 16| 16| 16|536|norow sale1|Кисти круглые| ПРОФИ|</span></p><UL><LI>Натуральная щетина<LI>Деревянная рукоятка</UL><p><span class="addt">||/img/pic/shmal/small/Kistj kruglaja PROFI.jpg|/img/pic/shmal/big/Kistj kruglaja PROFI.jpg
#0|Кисть Профи №&nbsp;&nbsp;2 - &nbsp;&nbsp;20&nbsp;мм         |149|KIK02   | 16| 16| 16|536
#0|Кисть Профи №&nbsp;&nbsp;4 - &nbsp;&nbsp;25&nbsp;мм         |149|KIK04   | 19| 19| 19|536
#0|Кисть Профи №&nbsp;&nbsp;6 - &nbsp;&nbsp;30&nbsp;мм         |149|KIK06   | 29| 29| 29|536
#0|Кисть Профи №&nbsp;&nbsp;8 - &nbsp;&nbsp;35&nbsp;мм         |149|KIK08   | 37| 37| 37|536
#0|Кисть Профи №10 - &nbsp;&nbsp;40&nbsp;мм                    |149|KIK10   | 79| 79| 79|536
#0|Кисть Профи №14 - &nbsp;&nbsp;45&nbsp;мм                    |149|KIK12   | 95| 95| 95|536
#0|Кисть Профи №14 - &nbsp;&nbsp;50&nbsp;мм                    |149|KIK14   | 99| 99| 99|536
#0|Кисть Профи №16 - &nbsp;&nbsp;55&nbsp;мм                    |149|KIK16   |145|145|145|536
#0|Кисть Профи №20 - &nbsp;&nbsp;65&nbsp;мм                    |149|KIK20   |165|165|165|536

# 150,cat150 -># 537,cat537|Кисти угловые радиаторные
 1|Кисти угловые радиаторные                             |150|01-2-110     | 42,74| 40,38| 39,19|537|norow|| REMOCOLOR|</span></p><UL><LI>Пластмассовая рукоятка.<LI>Натуральная щетина.<LI>Бандаж стальной, никелированный.</UL><p><span class="addt">||/img/pic/shmal/small/01-2-110_1.jpg|/img/pic/shmal/big/jpg
 0|Кисть радиаторная 1.0&Prime; (25 мм), пласт. рук.     |150|01-2-110     | 39,00| 38,00| 37,00|537
 0|Кисть радиаторная 1.5&Prime; (38 мм), пласт. рук.     |150|01-2-115     | 58,00| 56,00| 54,00|537
 0|Кисть радиаторная 2.0&Prime; (50 мм), пласт. рук.     |150|01-2-120     | 79,00| 77,00| 75,00|537
 0|Кисть радиаторная 2.5&Prime; (63 мм), пласт. рук.     |150|01-2-125     | 97,00| 95,00| 93,00|537
 0|Кисть радиаторная 3.0&Prime; (75 мм), пласт. рук.     |150|01-2-130     |115,00|112,00|109,00|537
#1|Кисть радиаторная 1.0&Prime; (25 мм), дл. щетины 45 мм|150|0224-72.47.10| 63,13| 59,92| 57,78|537|norow|Кисти угловые радиаторные профессиональные| HARDY (Польша) серия 72|</span><span class="for">Для акриловых красок</span></p><UL><LI>Изготовленные из смеси щетины китайской свиньи и полиэстра, радиаторные кисти HARDY соединяют достоинства обоих материалов: полное и гладкое покрытие поверхности и удобство работы с красками на водной основе.<LI>Кисти имеют нелакированную деревянную рукоятку.</UL><p><span class="addt">||/img/pic/shmal/small/0224-725720.jpg|/img/pic/shmal/big/0224-725720.jpg
#0|Кисть радиаторная 1.0&Prime; (25 мм), дл. щетины 45 мм|150|0224-72.47.10| 77,00| 77,00| 77,00|537
#0|Кисть радиаторная 2.0&Prime; (50 мм), дл. щетины 50 мм|150|0224-72.57.20|139,00|134,00|131,00|537
#0|Кисть радиаторная 2.5&Prime; (63 мм), дл. щетины 64 мм|150|0224-72.57.25|149,00|144,00|139,00|537
#0|Кисть радиаторная 3.0&Prime; (75 мм), дл. щетины 71 мм|150|0224-72.57.30|209,00|204,00|198,00|537
#1|Кисть радиаторная 1.0&Prime; (25 мм), дер. рук.       |150|KPA10        | 19,00| 19,00| 19,00|537|norow sale1|Кисти угловые радиаторные|, натуральная щетина|Деревянная рукоятка||/img/pic/shmal/small/Kist RADIATORNAJA.jpg|/img/pic/shmal/big/Kist RADIATORNAJA.jpg
#0|Кисть радиаторная 1.0&Prime; (25 мм), дер. рук.       |150|KPA10        | 19,00| 19,00| 19,00|537
#0|Кисть радиаторная 1.5&Prime; (38 мм), дер. рук.       |150|KPA15        | 28,00| 28,00| 28,00|537
#0|Кисть радиаторная 2.0&Prime; (50 мм), дер. рук.       |150|KPA20        | 32,00| 32,00| 32,00|537
#0|Кисть радиаторная 2.5&Prime; (63 мм), дер. рук.       |150|KPA25        | 35,00| 35,00| 35,00|537
#0|Кисть радиаторная 3.0&Prime; (75 мм), дер. рук.       |150|KPA30        | 44,00| 44,00| 44,00|537
#0|Кисть радиаторная 2.0&Prime; (50 мм), пласт. рук. (RemoColor)|150|01-2-120|29.00|27|25
#0|Кисть радиаторная 3.0&Prime; (75 мм), пласт. рук. (RemoColor)|150|01-2-130|47.00|44|42
#1|Кисть Мочальная|150||15.00|-

# 323,cat323 -># 539,cat539|Кисть маховая
 1|Кисть маховая КМ 65 мм                                    |323|02-1-106|358|349|342|539|norow|| REMOCOLOR <span class=art>арт. 02-1-106</span>|</span><span class="for">Для побелки и покраски больших площадей (стен, полов и т.д.) и для смазывания клеем обоев</span></p><UL><LI>Кисть маховая, кустовая набивка.<LI>Светлая натуральная щетина обеспечивает высокое качество покраски и долговечность кисти.</UL><p><span class="addt">||/img/pic/shmal/small/02-1-106.jpg|/img/pic/shmal/big/02-1-106.jpg
 0|Кисть маховая КМ 65 мм REMOCOLOR                          |323|02-1-106|358|349|342|539
#1|Кисть маховая                                             |323|84007   |335|320|310|539|norow|| КМ 80, MATRIX <span class=art>арт. 84007</span>|</span></p><UL><LI>Пластиковый корпус, натуральная щетина, диаметр 80 мм, длина щетины 76 мм.<LI>Съёмная пластиковая рукоятка дает возможность крепления телескопического или резьбового удлинителя.<LI>Рукоятка имеет отверстие для фиксации удлинителя или для подвешивания.</UL><p><span class="addt">||/img/pic/shmal/small/KIST MAHOVAJA.jpg|/img/pic/shmal/big/KIST MAHOVAJA.jpg
#0|Кисть маховая КМ 80, MATRIX                               |323|84007   |335|320|310|539|
#1|Кисти маховые "ФАСАД"                                     |323|        |335|320|310|539|norow|| MATRIX|Для высокопроизводительной работы с большими площадями.</span></p><UL><LI>Применяются преимущественно при окрашивании лакокрасочными материалами на масляной основе, эмалями и густыми лаками.<LI>Пластиковый корпус, высококачественная натуральная щетина.<LI>Доля щетинок, достигающих максимальной длины (TOPS), не менее 70%.<LI>Съёмная пластиковая рукоятка дает возможность крепления телескопического или резьбового удлинителя.<LI>Рукоятка имеет отверстие для фиксации удлинителя или для подвешивания и зацеп для крепления на банку с краской, малярное ведро или ванночку.<LI>Рукоятка смоделирована для продолжительных работ, поэтому при длительной покраске не устает рука.</UL><p><span class="addt">||/img/pic/shmal/small/83396.jpg|/img/pic/shmal/big/83396.jpg
#0|Кисть маховая "ФАСАД" 65 мм, MATRIX                       |323|83396   |238|233|228|539|
#0|Кисть маховая "ФАСАД" 80 мм, MATRIX                       |323|83397   |285|278|269|539|
#1|Кисть маховая круглая                                     |323|02-1-100|148|142|138|539|norow|| HOBBI, диаметр 108 мм <span class=art>арт. 02-1-100</span>|</span></p><UL><LI>Пластиковый корпус, искусственная щетина длиной 70мм, расщепленная на концах.<LI>Пластмассовая съёмная рукоятка имеет полость для крепления телескопического стержня или черенка, что позволяет работать в труднодоступных местах.</UL><p><span class="addt">||/img/pic/shmal/small/ma_HOBBI.jpg|/img/pic/shmal/big/jpg
#0|Кисть маховая круглая HOBBI, 108 мм                       |323|02-1-100|148|142|138|539|

### 148,cat148 -># 535,cat535|Кисти плоские серии 31|Кисти плоские серий 30 и 31 !Для красок и лаков на основе растворителей
