# 137,cat137 -># 406,cat406|Топоры
#1|Топор кованый 0.8 кг с фиберглассовым топорищем 395 мм              |137|21645| 429,00| 414,00| 398,00||norow|| СИБРТЕХ <span class="art">арт. 21645</span>|</span></p><UL><LI>Полотно выполнено из стали марки <b>У8</b>.<LI>Рабочая кромка заточена под углом <b>20-30°</b> и имеет твердость в пределах 25 мм от кромки <b>48-57 HRC</b>.<LI>Фибергласовое топорище обеспечивает амортизацию при ударе и удобно лежит в руке.<LI>Общая длина <b>410 мм</b>, общий вес <b>1.18 кг</b>.</UL><p><span class="addt">||/img/pic/instr/small/21645.jpg|/img/pic/instr/big/21645.jpg
#0|Топор кованый 0.8 кг с фиберглассовым топорищем 395 мм СИБРТЕХ      |137|21645| 429,00| 414,00| 398,00||
#1|Топор кованый 1.25 кг с фиберглассовым обрезиненным топорищем    |137|39-1-012|1165,00|1125,00|1098,00||norow|| HARDAX <span class="art">арт. 39-1-012</span>|</span></p><UL><LI>Полотно выполнено из усиленной термообработанной инструментальной стали твердостью <b>47-52 HRC</b>.<LI>Фибергласовое обрезиненное топорище обеспечивает амортизацию при ударе и удобно лежит в руке.<LI>Общая длина <b>400 мм</b>, общий вес <b>1.63 кг</b>.</UL><p><span class="addt">||/img/pic/instr/small/39-1-012.jpg|/img/pic/instr/big/39-1-012.jpg
 0|Топор-колун 0,7 кг БАРС                                             |137|21420|1290,00|1290,00|1290,00||
 0|Топор-колун 1,0 кг БАРС                                             |137|21422|1350,00|1350,00|1350,00||
#1|Топор-колун STRIKE 2.7 кг, стеклопластиковое обрезиненное топорище |137|564501|1390,00|1390,00|1390,00||norow ltd one|Топоры-колуны со стеклопластиковым топорищем| STRIKE|</span></p><UL><LI>Топор-колун имеет антикоррозионное покрытие (изготовлен из оксидированной стали) и надежно закреплен на топорище.<LI>Стеклопластиковое топорище обладает высокой прочностью на излом.<LI>В зоне захвата топорище обрезинено и имеет специальное рифление «ёлочка».<LI>На конце топорища имеется ушко для подвешивания на поясе или при хранении.</UL><p><span class="addt">||/img/pic/instr/small/564501.jpg|/img/pic/instr/big/564501.jpg
#0|Топор-колун STRIKE 2.7 кг, стеклопластиковое обрезиненное топорище |137|564501|1390,00|1390,00|1390,00||
#0|Топор-колун STRIKE 3.6 кг, стеклопластиковое обрезиненное топорище |137|564502|1390,00|1390,00|1390,00||
 1|Топоры-колуны с фиберглассовым обрезиненным топорищем               |137|21820|1290,00|1290,00|1290,00||norow ltd|| MATRIX|</span></p><UL><LI>Топор-колун изготовлен из стали марки 65Г твердостью 50 HRc.<LI>Наковаленка в тыльной части головки предназначена для нанесения ударов кувалдой.<LI>Длинная рукоятка обеспечивает мощность удара, амортизирует удар, имеет отверстие для подвешивания.</UL><p><span class="addt">||/img/pic/instr/small/21820.jpg|/img/pic/instr/big/jpg
 0|Топор-колун 2.7 кг с топорищем 900&nbsp;мм (общий вес 3.550&nbsp;кг)|137|21820|1290,00|1290,00|1290,00||
 0|Топор-колун 3.6 кг с топорищем 900&nbsp;мм (общий вес 4.380&nbsp;кг)|137|21822|1390,00|1390,00|1390,00||
 1|Топорище шлифованное, бук, 400 мм                                   |137|TB400|  95,00|  90,00|  85,00||norow|Топорища шлифованные||||/img/pic/instr/small/TB400.jpg|/img/pic/instr/big/jpg
 0|Топорище шлифованное, высший сорт, 365 мм                           |137|TB365|  55,00|  52,00|  49,00||
#0|Топорище шлифованное, бук, 400 мм                                   |137|TB400|  72,00|  69,00|  66,00||
#0|Топорище шлифованное, бук, 500 мм                                   |137|TB500|  72,00|  69,00|  66,00||
 0|Топорище шлифованное, высший сорт, 510 мм                           |137|TB510|  72,00|  69,00|  66,00||
 0|Топорище шлифованное, бук, 600 мм                                   |137|TB600| 125,00| 119,00| 112,00||
 0|Топорище шлифованное, бук, 700 мм                                   |137|TB700| 135,00| 129,00| 122,00||

#0|Топор кованый 0.8 кг с деревянным топорищем                         |137|TP08 | 385,00| 360,00| 345,00||
#0|Топор кованый 1.0 кг с деревянным топорищем                         |137|TP10 | 385,00| 360,00| 345,00||
#0|Топор кованый 1.2 кг с деревянным топорищем 500 мм (Ижевск)         |137|TJ.12| 435,00| 415,00| 398,00||ltdl
#0|Топор кованый 1.2 кг с деревянным топорищем                         |137|TP12 | 425,00| 395,00| 380,00||
#0|Топор кованый 1.4 кг с деревянным топорищем                         |137|TP14 | 470,00| 445,00| 430,00||
#0|Топор кованый 2.0 кг с деревянным топорищем                         |137|TP20 | 570,00| 545,00| 520,00||
#1|Топор STRIKE 0.6 кг, стеклопластиковое обрезиненное топорище       |137|564606| 298| 298| 298||norow sale1|Топоры со стеклопластиковым топорищем| STRIKE|</span></p><UL><LI>Топор имеет антикоррозионное покрытие (изготовлен из оксидированной стали) и надежно закреплен на топорище.<LI>Стеклопластиковое топорище обладает высокой прочностью на излом.<LI>В зоне захвата топорище обрезинено и имеет специальное рифление «ёлочка».<LI>На конце топорища имеется ушко для подвешивания на поясе или при хранении.</UL><p><span class="addt">||/img/pic/instr/small/564606-TOPOR-STRIKE.jpg|/img/pic/instr/big/564606-TOPOR-STRIKE.jpg
#0|Топор STRIKE 0.6 кг, стеклопластиковое обрезиненное топорище       |137|564606| 298| 298| 298||
#0|Топор STRIKE 1.0 кг, стеклопластиковое обрезиненное топорище       |137|564610| 590| 590| 590||
#1|Топор TRUPER HH-1-1/2, 0,7 кг                                       |137|14952| 690,00| 670,00| 660,00||norow ltd one|Топор| TRUPER HH-1-1/2, 0,7 кг <span class=art>арт. 14952</span>|</span></p><UL><LI>Вес 700 г. Длина топорища 36 см.<LI>Кованая сталь 1045 двойной термообработки.<LI>Рукоятка из орехового дерева.</UL><p><span class="addt">||/img/pic/instr/small/t14952.jpg|/img/pic/instr/big/t14952.jpg
#0|Топор TRUPER HH-1-1/2, 0,7 кг                                       |137|14952| 690,00| 670,00| 660,00||
#1|Топор TRUPER 1,5 кг с фиберглассовым топорищем                      |137|14962|1450,00|1420,00|1395,00||norow ltd one|Топор| TRUPER 1,5 кг с фиберглассовым топорищем <span class=art>арт. 14962</span>|</span></p><UL><LI>Вес 1,5 кг. Длина топорища 84 см.<LI>Кованая сталь 1045 двойной термообработки.</UL><p><span class="addt">||/img/pic/instr/small/t14962.jpg|/img/pic/instr/big/t14962.jpg
#0|Топор TRUPER 1,5 кг с фиберглассовым топорищем                      |137|14962|1450,00|1420,00|1395,00||
#1|Топор испанский                                                     |137|14972|1790,00|1750,00|1720,00||norow ltd one|| TRUPER ML, 1,8 кг <span class=art>арт. 14972</span>|</span></p><UL><LI>Вес 1,8 кг. Длина топорища 90 см.<LI>Кованая сталь 1045 двойной термообработки.<LI>Рукоятка из орехового дерева.</UL><p><span class="addt">||/img/pic/instr/small/topory-ispanskie-14972.jpg|/img/pic/instr/big/topory-ispanskie-14972.jpg
#0|Топор испанский TRUPER ML, 1,8 кг                                   |137|14972|1790,00|1750,00|1720,00||
#1|Топор-колун кованый 1.7 кг|137|TP17K|389|-|-||| в сборе <span class=art>арт. TP17K</span>|||/img/pic/instr/small/jpg|/img/pic/instr/big/jpg
#1|Топорище шлифованное, бук, 400 мм                                   |137|TB400|  95,00|  90,00|  85,00|406||Топорища шлифованные|, бук|||/img/pic/instr/small/TB400.jpg|/img/pic/instr/big/jpg

#################################
1|Топор 0.6 кг с фиберглассовым топорищем 370&nbsp;мм|315|21640|225||| MATRIX <span class=art>арт. 21640</span>|||/img/pic/instr/small/21640-TOPOR-MATRIX.jpg|/img/pic/instr/big/21640-TOPOR-MATRIX.jpg
#1|Топор 0.6 кг с фиберглассовым топорищем 370&nbsp;мм MATRIX|137|21640|295|285|275||Топор с фиберглассовым топорищем| MATRIX|||/img/pic/instr/small/21640.jpg|/img/pic/instr/big/jpg
#0|Топор 0.8 кг с фиберглассовым топорищем 385&nbsp;мм MATRIX|137|21647|365|355|345
#0|Топор 1.0 кг с фиберглассовым топорищем 430&nbsp;мм MATRIX|137|21649|445|435|425

# 138,cat138|Кувалды
 1|Кувалда кованая &nbsp;&nbsp;1.0 кг с деревянной рукояткой|138|GR01    | 498,00| 455,00| 435,00||norow|Кувалды кованые| GREEN (Россия) с деревянной рукояткой|||/img/pic/instr/small/Kuvalda Kovannaja.jpg|/img/pic/instr/big/Kuvalda Kovannaja.jpg
 0|Кувалда кованая &nbsp;&nbsp;2.0 кг с деревянной рукояткой|138|GR02    | 555,00| 545,00| 535,00||
 0|Кувалда кованая &nbsp;&nbsp;3.0 кг с деревянной рукояткой|138|GR03    | 655,00| 645,00| 632,00||
 0|Кувалда кованая &nbsp;&nbsp;4.0 кг с деревянной рукояткой|138|GR04    | 785,00| 774,00| 756,00||
 0|Кувалда кованая &nbsp;&nbsp;5.0 кг с деревянной рукояткой|138|GR05    | 875,00| 860,00| 845,00||
 0|Кувалда кованая &nbsp;&nbsp;6.0 кг с деревянной рукояткой|138|GR06    | 985,00| 968,00| 948,00||
 0|Кувалда кованая &nbsp;&nbsp;7.0 кг с деревянной рукояткой|138|GR07    |1095,00|1075,00|1055,00||
 0|Кувалда кованая &nbsp;&nbsp;8.0 кг с деревянной рукояткой|138|GR08    |1195,00|1175,00|1155,00||
 0|Кувалда кованая &nbsp;&nbsp;9.0 кг с деревянной рукояткой|138|GR09    |1425,00|1410,00|1385,00||
 0|Кувалда кованая 10.0 кг с деревянной рукояткой           |138|GR10    |1575,00|1555,00|1525,00||
#1|Кувалда литая 1.0 кг с деревянной рукояткой              |138|KL01    | 169,00| 163,00| 159,00||norow|Кувалды литые| с деревянной рукояткой|||/img/pic/instr/small/Kuvalda Litaja.jpg|/img/pic/instr/big/Kuvalda Litaja.jpg
#0|Кувалда литая 1.0 кг с деревянной рукояткой              |138|KL01    | 169,00| 163,00| 159,00
#0|Кувалда литая 2.0 кг с деревянной рукояткой              |138|KL02    | 189,00| 184,00| 179,00
#0|Кувалда литая 3.0 кг с деревянной рукояткой              |138|KL03    | 238,00| 232,00| 225,00
#0|Кувалда литая 4.0 кг с деревянной рукояткой              |138|KL04    | 298,00| 288,00| 272,00
#0|Кувалда литая 5.0 кг с деревянной рукояткой              |138|KL05    | 398,00| 384,00| 369,00
#0|Кувалда литая 6.0 кг с деревянной рукояткой              |138|KL06    | 498,00| 475,00| 458,00
#0|Кувалда литая 7.0 кг с деревянной рукояткой              |138|KL07    | 578,00| 562,00| 545,00
#0|Кувалда литая 8.0 кг с деревянной рукояткой              |138|KL08    | 639,00| 625,00| 612,00
#0|Кувалда литая 9.0 кг с деревянной рукояткой              |138|KL09    | 678,00| 655,00| 638,00
 1|Кувалда кованая 1.0 кг SPARTA                            |138|10913   | 390.00| 360.00| 350.00||norow|Кувалды кованые| HOBBI / <span class="blue"> HARDAX</span> с обрезиненной фибергласовой рукояткой|</span></p><UL><LI>Головка кувалды кованая, покрыта черным лаком, изготовлена из стали 45.<LI>Бойку придана селективная закалка, обеспечивающая особую твердость и прочность (52 HRc).<LI>Боек слегка выпуклый и отшлифован с обеих сторон.<LI>Фибергласовая рукоятка амортизирует отдачу при ударе.<LI>Резиновое покрытие препятствует скольжению в руке и обеспечивает удобный и надежный захват.</UL><p><span class="addt">||/img/pic/instr/small/10913.jpg|/img/pic/instr/big/10913.jpg
#0|Кувалда кованая 1.0 кг SPARTA                            |138|10913   | 390.00| 360.00| 350.00
 0|Кувалда кованая 1.0 кг HOBBI                             |138|38-5-510| 349,00| 342,00| 335,00||
 0|Кувалда кованая 1.0 кг HARDAX, рукоятка 220 мм           |138|38-5-210| 420,00| 408,00| 398,00||blue
 0|Кувалда кованая 1.5 кг HARDAX, рукоятка 230 мм           |138|38-5-215| 425,00| 412,00| 402,00||blue
 0|Кувалда кованая 1.5 кг HOBBI                             |138|38-5-515| 525,00| 509,00| 497,00||
 0|Кувалда кованая 2.0 кг HOBBI                             |138|38-5-520| 498,00| 484,00| 475,00||
 0|Кувалда кованая 2.0 кг HARDAX, рукоятка 230 мм           |138|38-5-220| 725,00| 708,00| 696,00||blue
 1|Кувалда кованая 3.0 кг HARDAX                            |138|38-5-330| 998.00| 982.00| 972.00||norow|Кувалды кованые| HARDAX с длинной обрезиненной фибергласовой рукояткой 900 мм|</span></p><UL><LI>Головка кувалды кованая, закалена и полностью отполирована.<LI>Фибергласовая рукоятка длиной 900 мм амортизирует отдачу при ударе.<LI>Резиновое покрытие препятствует скольжению в руке и обеспечивает удобный и надежный захват.</UL><p><span class="addt">||/img/pic/instr/small/38-5-330.jpg|/img/pic/instr/big/38-5-330.jpg
 0|Кувалда кованая 3.0 кг HARDAX                            |138|38-5-330|1165,00|1145,00|1120,00
 0|Кувалда кованая 4.0 кг HARDAX                            |138|38-5-340|1445,00|1415,00|1385,00
 0|Кувалда кованая 5.0 кг HARDAX                            |138|38-5-350|1675,00|1645,00|1630,00
#0|Кувалда кованая 1.5 кг SiB                               |138|10916   | 455.00| 445.00| 430.00||blue
#0|Кувалда кованая 2.0 кг SPARTA                            |138|10917   | 495.00| 470.00| 450.00
#1|Кувалда кованая 4.0 кг MATRIX MASTER                     |138|10923   |1295.00|1245.00|1195.00||norow|Кувалда кованая с обрезиненной фибергласовой рукояткой| MATRIX MASTER <span class="art">арт. 10923</span>|</span></p><UL><LI>Кованая головка кувалды изготовлена из стали марки 50 <i>(«Сталь конструкционная углеродистая качественная»)</i>, покрыта черным лаком.<LI>Бойку придана селективная закалка, обеспечивающая особую твердость и прочность (52 HRc). Боек слегка выпуклый и отшлифован с обеих сторон.<LI>Головка на рукоятку посажена «на протяг» (с нижней стороны рукоятки до упора), что увеличивает надежность крепления.<LI>Фибергласовая рукоятка амортизирует отдачу при ударе.<LI>Резиновое покрытие препятствует скольжению в руке и обеспечивает удобный и надежный захват.<LI>Общий вес инструмента &mdash; 5.125 кг.</UL><p><span class="addt">||/img/pic/instr/small/10923s.jpg|/img/pic/instr/big/10923.jpg
#0|Кувалда кованая 4.0 кг MATRIX MASTER                     |138|10923   |1295.00|1245.00|1195.00
#1|Кувалда TRUPER с фиберглассовой рукояткой                |138|19884   |2990,00|2990,00|2990,00||norow ltd one|Кувалды| TRUPER с фиберглассовой рукояткой 91 см|</span></p><UL><LI>Двухкомпонентная фиберглассовая рукоятка 91 см.<LI>Финишная обработка бойка.</UL><p><span class="addt">||/img/pic/instr/small/t-kuvalda-fg.jpg|/img/pic/instr/big/t-kuvalda-fg.jpg
#0|Кувалда TRUPER 2,70 кг с фиберглассовой рукояткой 91 см  |138|19884   |1890.00|1790.00|1740.00|
#0|Кувалда TRUPER 4,54 кг с фиберглассовой рукояткой 91 см  |138|16540   |2550.00|2450.00|2380.00|
#0|Кувалда TRUPER 7,26 кг с фиберглассовой рукояткой 91 см  |138|16546   |2990,00|2990,00|2990,00|
#1|Кувалда TRUPER с деревянной рукояткой                    |138|16516   |4800,00|4800,00|4800,00||norow ltd one|Кувалда| TRUPER 9,07 кг с деревянной рукояткой 91 см <span class=art>арт. 16516</span>|</span></p><UL><LI>Рукоятка 91 см (американский орех) с антишоковой защитой.<LI>Финишная обработка бойка.</UL><p><span class="addt">||/img/pic/instr/small/t-kuvalda-md.jpg|/img/pic/instr/big/t-kuvalda-md.jpg
#0|Кувалда TRUPER 9,07 кг с деревянной рукояткой 91 см      |138|16516   |4800,00|4800,00|4800,00|
1|Рукоятка для кувалды деревянная,       400 мм             |138|RK400   | 125.00| 115.00| 105.00||norow|Рукоятки для кувалды||||/img/pic/instr/small/kuv_r_10988.jpg|/img/pic/instr/big/jpg
0|Рукоятка для кувалды шлифованная, бук, 600 мм             |138|RKB600  | 125.00| 115.00| 105.00
0|Рукоятка для кувалды шлифованная, бук, 700 мм             |138|RKB700  | 135.00| 125.00| 115.00
#0|Кувалда литая 7.0 кг с деревянной рукояткой              |138|KL07    | 520,00| 498,00| 480,00
#1|Кувалда кованая 1.0 кг|138|KU10F|199 |189|||Кувалда кованая| MATRIX   1.0 кг с деревянной рукояткой <span class=art>арт. 10902</span>|</span></p><UL><LI>Селективная закалка обеспечивает особую твердость и прочность 52 HRc.<LI>Боек слегка выпуклый и отшлифован с обеих сторон.<LI>Удлиненная лакированная деревянная рукоятка.</UL><p><span class="addt">||/img/pic/instr/small/10902.jpg|/img/pic/instr/big/jpg
#1|Кувалда кованая 1.0 кг                                   |138|KU10F   | 650.00| 620.00| 600.00||norow|Кувалды кованые| с обрезиненной фибергласовой двухкомпонентной рукояткой|||/img/pic/instr/small/Kuvalda obrezinen MATRIX.jpg|/img/pic/instr/big/Kuvalda obrezinen MATRIX.jpg
#0|Кувалда кованая 1.5 кг                                   |138|KU15F   | 760.00| 725.00| 710.00|
#0|Кувалда кованая 2.0 кг                                   |138|KU20F   | 890.00| 855.00| 825.00|
#0|Кувалда кованая 3.0 кг                                   |138|KU30F   |1900|1800|1760|
#0|Кувалда кованая 4.0 кг                                   |138|KU40F   |1390.00|1290.00|1190.00|
#0|Кувалда кованая 5.0 кг                                   |138|KU50F   |1900.00|1800.00|1760.00|
#1|Кувалда безынерционная обрезиненная MATRIX 675 г          |138|10986  | 330| 320| 310|||Кувалды безынерционные обрезиненные||Отдача безынерционной кувалды снижена особой конструкцией: высокопрочный металлический корпус бойка имеет цельнолитую оболочку из ударопрочного пластика и заполнен стальными шариками, которые поглощают импульс обратного движения. Рукоятка оснащена резиновой накладкой, поэтому руки при работе не скользят.||/img/pic/instr/small/kuv_10986.jpg|/img/pic/instr/big/jpg
#0|Кувалда безынерционная обрезиненная 450 г                 |138|10986  | 330| 320| 310||norow

# 139,cat139|Молоток слесарный
 1|Молоток слесарный VOLKSHAMMER 0.4 кг                  |139|860400  |189|194|191||norow|Молотки слесарные| VOLKSHAMMER, деревянная рукоятка, квадратный боек|</span></p><UL><LI>Боек - закаленная сталь твердостью 50 HRC.<LI>Система фиксации бойка: рукоятка расклинена круглым клином и залита эпоксидной смолой. Боек дополнительно зафиксирован поперечным стальным штифтом.</UL><p><span class="addt">||/img/pic/instr/small/volkshammer.jpg|/img/pic/instr/big/volkshammer.jpg
 0|Молоток слесарный VOLKSHAMMER 0.4 кг                  |139|860400  |189|194|191|
 0|Молоток слесарный VOLKSHAMMER 0.5 кг                  |139|860500  |208|203|198|
 0|Молоток слесарный VOLKSHAMMER 0.6 кг                  |139|860600  |229|222|216|
#0|Молоток слесарный VOLKSHAMMER 0.8 кг                  |139|860800  |298|292|278|
#0|Молоток слесарный VOLKSHAMMER 1.0 кг                  |139|861000  |398|388|374|
 1|Молоток слесарный СТАНДАРТ 0.1 кг                     |139|MS300   |139|135|132||norow|Молотки слесарные| СТАНДАРТ, квадратный боек|||/img/pic/instr/small/Molotki slesarny.jpg|/img/pic/instr/big/Molotki slesarny.jpg
 0|Молоток слесарный СТАНДАРТ 0.3 кг                     |139|MS300   |139|135|132|
 0|Молоток слесарный СТАНДАРТ 0.5 кг                     |139|MS500   |189|183|179|
 0|Молоток слесарный СТАНДАРТ 0.6 кг                     |139|MS600   |208|205|198|
 0|Молоток слесарный СТАНДАРТ 0.8 кг                     |139|MS800   |288|282|276|
 0|Молоток слесарный СТАНДАРТ 1.0 кг                     |139|MS110   |309|303|295|
 0|Молоток слесарный СТАНДАРТ 1.5 кг                     |139|MS150   |444|433|425|
#1|Молоток слесарный HARDAX 0.3 кг                       |139|38-2-205|289|282|277||norow|Молотки слесарные| HARDAX, фибергласовая рукоятка, квадратный боек|</span></p><UL><LI>Боек покрыт черным лаком и надежно зафиксирован на рукоятке при помощи клина и специального эпоксидного клея.<LI>Рабочим частям бойка придана селективная закалка, твердость – 55 НRc, что соответствует требованиям ГОСТ 2310-77.<LI>Боёк кованый и отфрезерованный, изготовлен из стали марки 50.<LI>Фиберглассовая рукоятка обрезинена.</UL><p><span class="addt">||/img/pic/instr/small/38-2-205.jpg|/img/pic/instr/big/38-2-205.jpg
#0|Молоток слесарный HARDAX 0.5 кг                       |139|38-2-205|289|282|277||
#0|Молоток слесарный HARDAX 0.6 кг                       |139|38-2-206|309|303|298||
#0|Молоток слесарный HARDAX 0.8 кг                       |139|38-2-208|369|362|357||
#0|Молоток слесарный HARDAX 1.0 кг                       |139|38-2-210|418|408|398||
 1|Молоток инженерный 1,6 кг                             |139|16508   |698|698|689||norow sale1|| TRUPER MD-4M <span class=art>арт. 16508</span>|Деревянная рукоятка 30 см с антишоковым наконечником.<br>Финишная обработка бойка.||/img/pic/instr/small/T16508.jpg|/img/pic/instr/big/T16508.jpg
 0|Молоток инженерный TRUPER 1,6 кг                      |139|16508   |698|698|689||
 0|Молоток слесарный 0.8 кг, круглый боек (Россия)       |139|RU.K.8  |139|139|139|
 1|Рукоятка для молотка деревянная,       400 мм         |139|38-0-140| 26| 25| 24||norow|Рукоятки для молотка||||/img/pic/instr/small/molot_r.jpg|/img/pic/instr/big/jpg
 0|Рукоятка для молотка шлифованная, бук, 360 мм         |139|38-0-140| 26| 25| 24|
#1|Молоток слесарный GROSS 0.3 кг                        |139|10273   |375|350|335||norow|Молотки слесарные| GROSS|</span></p><UL><LI>фибергласовая обрезиненная рукоятка<LI>квадратный боек</UL><p><span class="addt">||/img/pic/instr/small/MOLOTOK GROSS.jpg|/img/pic/instr/big/MOLOTOK GROSS.jpg
#0|Молоток слесарный GROSS 0.5 кг                        |139|10276   |495|465|450|
#0|Молоток слесарный GROSS 0.8 кг                        |139|10278   |645|610|595|
#1|Молоток слесарный, оцинкованный квадратный боек 0.2 кг|139|RU0200  |115|110|105|||Молотки слесарные| (РОССИЯ), оцинкованный квадратный боек|||/img/pic/instr/small/Molotok Slesarny.jpg|/img/pic/instr/big/Molotok Slesarny.jpg
#0|Молоток слесарный, оцинкованный квадратный боек 0.4 кг|139|RU0400  |155|148|139|
#0|Молоток слесарный, оцинкованный квадратный боек 0.5 кг|139|RU0500  |184|175|168|
#0|Молоток слесарный, оцинкованный квадратный боек 0.6 кг|139|RU0600  |215|200|195|
#0|Молоток слесарный, оцинкованный квадратный боек 0.8 кг|139|RU0800  |270|255|240|
#0|Рукоятка для молотка шлифованная, бук, 360 мм         |139|RMB36   | 78| 74| 68|
#0|Рукоятка для молотка шлифованная, бук, 400 мм         |139|RMB40   | 84| 78| 73|
#1|Молоток инженерный 1,6 кг|348|16536|850|820|790|||| TRUPER MD-4F <span class=art>арт. 16536</span>|Двухкомпонентная фиберглассовая рукоятка 36 см.<br>Финишная обработка бойка.||/img/pic/instr/small/T16536.jpg|/img/pic/instr/big/T16536.jpg
#0|Молоток слесарный GROSS 0.6 кг |139|10277 |210|210|210|norow
#0|Молоток слесарный GROSS 0.4 кг |139|10274 |165|165|165
#0|Молоток слесарный GROSS 1.0 кг |139|10279 |265|265|265
#0|Молоток слесарный СТАНДАРТ 0.2 кг                     |139|MS200 |155|150|145|
#0|Молоток слесарный СТАНДАРТ 0.4 кг|139|MS400|110|105|100
#0|Молоток слесарный СТАНДАРТ 0.7 кг|139|MS700|165|155|152
#1|Молоток слесарный STRIKE 0.8 кг|139|564108|285|285|285|norow sale1|Молотки слесарные| STRIKE, стеклопластиковая рукоятка|||/img/pic/instr/small/STRIKE_564108.jpg|/img/pic/instr/big/jpg
#0|Молоток слесарный STRIKE 0.8 кг|139|564108|195|195|195|
#1|Молоток слесарный SPARTA 0.7 кг|139|102135|285|285|285|norow sale1|Молотки слесарные| SPARTA|||/img/pic/instr/small/102135.jpg|/img/pic/instr/big/jpg
#0|Молоток слесарный SPARTA 0.7 кг|139|102135| 77| 77| 77|

# 348,cat348|Молоток инженерный

# 205,cat205|Молоток печника
#1|Молоток печника 550 г    |205|MK550   |210|200|195|||Молотки печника (молотки-кирочки)| оцинкованные|||/img/pic/instr/small/MK550 - Molotok Kirochka -Zn.jpg|/img/pic/instr/big/MK550 - Molotok Kirochka -Zn.jpg
