# 454|Смеси и клей строительные
# 455|Клей для плитки
 1|Клей для плитки "Ceresit" CM  9, 25 кг                |455|CM.09.25  |-|-|-||norow|Клей для плитки| "Ceresit" CM  9 для внутренних работ <span class=art>арт. CM.09.25</span>|Предназначен для крепления керамической плитки и керамогранита на жестких минеральных основаниях.</span></p><UL><LI>Водостойкий, устойчив к сползанию плитки.<LI>Пригоден только для внутренних работ.<LI>Экологически безопасный.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CM09m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CM09s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CM09r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>, <a href="/img/pic/foam/pdf/CM09f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a>.</UL><p><span class="addt">Расфасовка: мешок 25 кг||/img/pic/foam/small/CM0925.jpg|/img/pic/foam/big/CM0925.jpg
#0|Затирка "Ceresit" № 13 Aquastatic CE 40 антрацит      |456|СЕ.40.13  |-|-|-||zak
#0|Затирка "Ceresit" № 16 Aquastatic CE 40 графит        |456|СЕ.40.16  |-|-|-||zak
#0|Затирка "Ceresit" № 25 Aquastatic CE 40 сахара        |456|СЕ.40.25  |-|-|-||zak
#0|Затирка "Ceresit" № 37 Aquastatic CE 40 чили          |456|СЕ.40.37  |-|-|-||zak
#0|Затирка "Ceresit" № 49 Aquastatic CE 40 кирпичная     |456|СЕ.40.49  |-|-|-||zak
#0|Затирка "Ceresit" № 82 Aquastatic CE 40 голубая       |456|СЕ.40.82  |-|-|-||zak
 1|Затирка "Ceresit" Super CE 33         белая           |456|СЕ.33.02WI|-|-|-||norow|Затирка| "Ceresit" Super CE 33</span>|Эластичная водоотталкивающая затирка с усиленным противогрибковым эффектом (формула Trio Protection "Micro Protect") для швов плиточных облицовок шириной до 5 мм.</span></p><UL><LI>Имеет гладкую поверхность.<LI>Пригодна для внутренних и наружных работ.<LI>Водостойкиая, морозостойкая, экологически безопасная.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CE33m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CE33s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CE33r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>, <a href="/img/pic/foam/pdf/CE33f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a>.</UL><p><span class="addt"><b>Цена за мешок 2 кг.</b>||/img/pic/foam/small/CT3302WI.jpg|/img/pic/foam/big/CT3302WI.jpg
 0|Затирка "Ceresit" № 01 Super CE 33    белая           |456|СЕ.33.02WI|-|-|-||
 0|Затирка "Ceresit" № 07 Super CE 33    серая           |456|СЕ.33.02GR|-|-|-||
#0|Затирка "Ceresit" № 10 Super CE 33    манхеттен       |456|СЕ.33.10  |-|-|-||zak
#0|Затирка "Ceresit" № 13 Super CE 33    антрацит        |456|СЕ.33.13  |-|-|-||zak
#0|Затирка "Ceresit" № 16 Super CE 33    графит          |456|СЕ.33.16  |-|-|-||zak
#0|Затирка "Ceresit" № 49 Super CE 33    кирпичная       |456|СЕ.33.49  |-|-|-||zak
#0|Затирка "Ceresit" № 58 Super CE 33    темно-коричневая|456|СЕ.33.58  |-|-|-||zak

# 457|Грунт строительный, бетоноконтакт
 1|Грунтовка универсальная акриловая                     |457|MG.10ST |-|-|-||norow|| Мономах-St, 10 л <span class=art>арт. MG.10ST</span>|</span><span class="for">Для идеально надёжного сцепления строительных материалов и повышения стойкости сильно впитывающих оснований</span></p><UL><LI>Может наноситься на бетонные, газобетонные, кирпичные, газосиликатные, оштукатуренные, деревянные поверхности.<LI>Обеспыливает основание и придаёт верхнему слою прочность перед нанесением отделочного материала: шпатлевки, штукатурки, клеевых и акриловых составов, гипсокартона, обоев, гипсовых пазогребневых плит и т.п.<LI>Снижает расход отделочных материалов и облегчает процесс их нанесения.<LI>Содержит в своем составе универсальные ультрамелкие частицы, способные просачиваться в самые микроскопические поры поверхности.<LI>Включает антисептическую добавку, которая предотвращает возникновение грибка или мелких паразитов.</UL><p><span class="addt">Расфасовка: канистра 10 л||/img/pic/foam/small/grunt-mono-st.jpg|/img/pic/foam/big/grunt-mono-st.jpg
 0|Грунтовка универсальная акриловая Мономах-St, 10 л    |457|MG.10ST |-|-|-||
 1|Грунтовка бетоноконтакт "Ceresit"  CT 19              |457|CT.19.15|-|-|-||norow|Грунтовка <abbr title="Специальный адгезионный преимущественно штукатурный грунт, предназначенный для предварительной обработки поверхностей, имеющих плотную, не впитывающую влагу структуру.">бетоноконтакт</abbr>| "Ceresit"  CT 19 <span class=art>арт. CT.19.15</span>|Предназначена для обработки гладких, преимущественно бетонных, вертикальных оснований перед нанесением цементно-песчаных штукатурок и плиточных клеев при внутренних работах.</span></p><UL><LI>Повышает адгезию материалов к бетону.<LI>Готова к применению. Пригодна только для внутренних работ<LI>Экологически безопасна, паропроницаема.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CT19m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CT19s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CT19r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>.</UL><p><span class="addt">Расфасовка: ведро 15 кг||/img/pic/foam/small/CT1915.jpg|/img/pic/foam/big/CT1915.jpg
 0|Грунтовка бетоноконтакт "Ceresit"  CT 19, 15 кг       |457|CT.19.15|-|-|-||
 1|Грунтовка проникающая универсальная                   |457|KGP.10  |-|-|-||norow|| KRAFOR для внутренних и наружных работ <span class=art>арт. KGP.10</span>|</span><span class="for">Для отделки стен из бетона, кирпичной кладки, гипсокартонных панелей, цементной штукатурки, других минеральных и деревянных поверхностей; для обработки непрочных и осыпающихся оснований (старая штукатурка, побелка и т.п.)</span></p><UL><LI>Готова к применению. Легко наносится. Расход: 100 - 150 мл/кв.м в зависимости от впитывающей способности основания.<LI>Время высыхания: 1 час. После высыхания грунтовка образует прозрачную пленку и выравнивает впитывающую способность основания, что позволяет более равномерно наносить последующие перекрывающие слои (краски, лаки и др.) и уменьшать их расход.<LI>Пригодна для разбавления водно-дисперсионных красок, например, при нанесении краскораспылителем.</UL><p><span class="addt">Расфасовка: канистра 10 л||/img/pic/foam/small/krafor_gr_un.jpg|/img/pic/foam/big/krafor_gr_un.jpg
 0|Грунтовка проникающая универсальная KRAFOR, 10 л      |457|KGP.10  |-|-|-||
 1|Грунтовка укрепляющая "Ceresit"  CT 17                |457|CT.17.10|-|-|-||norow|Грунтовка укрепляющая глубокого проникновения| "Ceresit"  CT 17 <span class=art>арт. CT.17.10</span>|Водно-дисперсионная грунтовка глубокого проникновения предназначена для обработки впитывающих поверхностей всех видов перед нанесением штукатурных и напольных смесей, плиточных клеев и т.д.</span></p><UL><LI>Укрепляет поверхность и связывает пыль; снижает впитывающую способность основания.<LI>Имеет высокую проникающую способность.<LI>Не снижает паропроницаемость основания.<LI>Светло-желтый цвет позволяет легко отличить загрунтованную поверхность от незагрунтованной.<LI>Может применяться на стяжках с подогревом.<LI>Пригодна для наружных и внутренних работ.<LI>Экологически безопасна.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CT17m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CT17s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CT17r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>.</UL><p><span class="addt">Расфасовка: канистра 10 л||/img/pic/foam/small/CT1710.jpg|/img/pic/foam/big/CT1710.jpg
 0|Грунтовка укрепляющая "Ceresit"  CT 17, 10 л          |457|CT.17.10|-|-|-||
 1|Грунтовка укрепляющая глубокого проникновения         |457|М.GT.10 |-|-|-||norow|| "Tiefgrund", 10&nbsp;л <span class=art>арт. М.GT.10</span>|Грунтовка глубокого проникновения предназначена для внутренних и наружных работ по всем непрочным, интенсивно впитывающим поверхностям: по дереву, бетону, гипсу, кирпичу и т.д.</span></p><UL><li>Защищает основание от повреждений, получаемых во время снятия покрытий, отслуживших свой срок.<li>Рекомендуется в качестве основания под водно-дисперсионные лаки и краски, под различные виды текстурных покрытий.<li>Не содержит летучих веществ, вредных для здоровья человека и животных.<li>Предотвращает рост бактерий и плесени. Благодаря специальным добавкам грунтовка отличается высокими антисептическими свойствами.</UL><p><span class="addt">Расфасовка: канистра 10 л||/img/pic/foam/small/mon-tiefgrund.jpg|/img/pic/foam/big/mon-TIEFGROUND-n.jpg
 0|Грунтовка укрепляющая "Tiefgrund", 10 л               |457|М.GT.10 |-|-|-||
#1|Грунтовка бетоноконтакт                               |457|M.BK.05 |-|-|-||norow|Грунтовка <abbr title="Специальный адгезионный преимущественно штукатурный грунт, предназначенный для предварительной обработки поверхностей, имеющих плотную, не впитывающую влагу структуру.">бетоноконтакт</abbr>| "Мономах" STANDARD, 5&nbsp;кг <span class=art>арт. M.BK.05</span>|Универсальное стредство, предназначенное для грунтования любых поверхностей с целью улучшения адгезионных характеристик последующе наносимых составов.</span></p><UL><LI>Применяется в качестве сцепляющего средства основания (обычно, бетона и керамической плитки) и покрытия (гипсовых и известково-цементных штукатурок и красок). Улучшает адгезионную способность штукатурки к основанию, и создает непроницаемую для водных растворов солей и щелочей преграду.<LI>Также служит отличной защитой от коррозии открытой арматуры.<LI>Экологически безопасный продукт. Соответствует всем необходимым техническим условиям и требованяим, предъявляемым к подобной продукции.</UL><p><span class="addt">Расфасовка: ведро 5 кг||/img/pic/foam/small/mon-bet.jpg|/img/pic/foam/big/mon-BETONKONT.jpg
 1|Грунтовка бетоноконтакт                               |457|M.BK.05 |-|-|-||norow|Грунтовка <abbr title="Специальный адгезионный преимущественно штукатурный грунт, предназначенный для предварительной обработки поверхностей, имеющих плотную, не впитывающую влагу структуру.">бетоноконтакт</abbr>| "Мономах" STANDARD|Универсальное стредство, предназначенное для грунтования любых поверхностей с целью улучшения адгезионных характеристик последующе наносимых составов.</span></p><UL><LI>Применяется в качестве сцепляющего средства основания (обычно, бетона и керамической плитки) и покрытия (гипсовых и известково-цементных штукатурок и красок). Улучшает адгезионную способность штукатурки к основанию, и создает непроницаемую для водных растворов солей и щелочей преграду.<LI>Также служит отличной защитой от коррозии открытой арматуры.<LI>Экологически безопасный продукт. Соответствует всем необходимым техническим условиям и требованяим, предъявляемым к подобной продукции.</UL><p><span class="addt"><b>Цена за ведро 5 / 10 / 15 кг</b>||/img/pic/foam/small/mon-bet.jpg|/img/pic/foam/big/mon-BETONKONT.jpg
 0|Грунтовка бетоноконтакт "Мономах" STANDARD,  5 кг     |457|M.BK.05 |-|-|-||
 0|Грунтовка бетоноконтакт "Мономах" STANDARD, 10 кг     |457|M.BK.10 |-|-|-||
 0|Грунтовка бетоноконтакт "Мономах" STANDARD, 20 кг     |457|M.BK.20 |-|-|-||
# !!! |Грунтовка глубокого проникновения универсальная   |457|KGP.10  |-|-|-||norow|| KRAFOR <span class=art>арт. KGP.10</span>|</span><span class="for">Для отделки стен из бетона, кирпичной кладки, гипсокартонных панелей, цементной штукатурки, других минеральных, а также деревянных поверхностей; для грунтования полов перед нанесением самовыравнивающихся смесей; для разбавления водно-дисперсионных красок, например, при нанесении краскораспылителем.</span></p><UL><LI>Грунтовка глубокого проникновения позволяет повысить качество сцепления; делает поверхности более прочными; уменьшает количество ЛКМ, необходимых для дальнейшей обработки. Возможно нанесение на старую масляную краску или алкидную эмаль ПФ-115.<LI>После высыхания грунтовка образует прозрачную пленку и выравнивает впитывающую способность основания, что позволяет более равномерно наносить последующие перекрывающие слои (краски, лаки и др.) и уменьшать их расход.<LI>Готова к применению, устойчива к воде, паропроницаема, нетоксична, пожаро-взрывобезопасна, морозостойка, экологически безопасна. Быстро высыхает и далее не испаряет вредных веществ. Мешает образованию плесени.</UL><p><span class="addt">Расфасовка: канистра 10 л||/img/pic/foam/small/krafor_gr.jpg|/img/pic/foam/big/krafor_gr.jpg

# 458|Шпаклевка
 1|Шпаклевка полимерная для внутр.работ "Ceresit" CT 127 |458|CT.127.25 |-|-|-||norow|Шпаклевка полимерная для внутренних работ| "Ceresit" CT 127 <span class=art>арт. CT.127.25</span>|Белая финишная полимерная шпаклевка для внутренних работ (толщина слоя до 3 мм) предназначена для финишного выравнивания поверхностей и заполнения мелких дефектов на бетонных, цементно-известковых, цементно-песчаных, гипсовых и т.п. основаниях на стенах и потолках внутри зданий.</span></p><UL><LI>Обладает высокой адгезией к основаниям.<LI>Пластична и удобна в работе; <abbr title="Тиксотропность — способность субстанции уменьшать вязкость (разжижаться) от механического воздействия и увеличивать вязкость (сгущаться) в состоянии покоя">тиксотропна</abbr>.<LI>Не требует обязательного окрашивания; пригодна для окрашивания и оклейки обоями.<LI>Пригодна только для внутренних работ.<LI>Экологически безопасна.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CT127m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CT127s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CT127r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>, <a href="/img/pic/foam/pdf/CT127f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a>.</UL><p><span class="addt">Расфасовка: мешок 25 кг||/img/pic/foam/small/CT12725.png|/img/pic/foam/big/CT12725.png
 0|Шпаклевка полимерная для внутр.работ "Ceresit" CT 127 |458|CT.127.25 |-|-|-||
 1|Шпаклевка фасадная финишная белая    "Ceresit" CT 225 |458|CT.225.25 |-|-|-||norow|Шпаклевка фасадная финишная белая| "Ceresit" CT 225 <span class=art>арт. CT.225.25</span>|Белая финишная полимерная шпаклевка для наружных и внутренних работ (толщина слоя до 3 мм) предназначена для финишного выравнивания поверхностей и заполнения мелких дефектов на бетонных, цементно-известковых, цементно-песчаных, гипсовых и т.п. основаниях на стенах и потолках снаружи и внутри зданий, в т.ч. в помещениях с повышенной влажностью.</span></p><UL><LI>Обладает высокой адгезией к основаниям.<LI>Пластична и удобна в работе.<LI>Содержит армирующие микроволокна. Водо- и морозостойкая.<LI>Экологически безопасна.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CT225m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CT225s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CT225r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>, <a href="/img/pic/foam/pdf/CT225f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a>.</UL><p><span class="addt">Расфасовка: мешок 25 кг||/img/pic/foam/small/CT22525.png|/img/pic/foam/big/CT22525.png
 0|Шпаклевка фасадная финишная белая    "Ceresit" CT 225 |458|CT.225.25 |-|-|-||

# 459|Штукатурка !Декоративная штукатурка "Короед"
 1|Акриловая декоративная штукатурка для фасадов         |459|СТ.64.25  |-|-|-||norow|| "Короед" 2.0 мм Ceresit CT 64 <span class=art>арт. СТ.64.25</span>|</span><span class="for">Для изготовления тонкослойных декоративных покрытий с бороздчатой фактурой внутри и снаружи зданий</span></p><UL><LI>Может применяться на таких основаниях как бетон, цементные и гипсовые штукатурки, гипсокартон, древесностружечные плиты и т.д.<LI>Рекомендована для систем теплоизоляции фасадов с пенополистирольными плитами.<LI>Образует прочные, эластичные и долговечные покрытия, способные перекрывать мелкие трещины, и рекомендована для декоративной отделки фасадов зданий, в т.ч. в регионах с частыми и интенсивными атмосферными осадками; стен вестибюлей, холлов, лестничных клеток и т.д.<LI>Выпускается в виде базы под колеровку и может быть колерована в соответствии с Ceresit Color System, NCS, RAL и другими колеровочными системами.<LI>Готовая к применению, эластичная, устойчивая к деформациям, с низким водопоглощением, паропроницаемая, морозо- и атмосферостойкая, экологически безопасная.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CT64m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CT64s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CT64r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>, <a href="/img/pic/foam/pdf/CT64f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a>.</UL><p><span class="addt">Расфасовка: <b>ведро 25 кг</b>||/img/pic/foam/small/CT6425.png|/img/pic/foam/big/CT6425.png
 0|Декоративная штукатурка для фасадов "Короед" 2.0 мм   |459|СТ.64.25  |-|-|-||
#1|Штукатурка для ячеистого бетона "Ceresit"  CT 24      |459|CT.24.25  |-|-|-||norow|Штукатурка для ячеистого бетона| "Ceresit"  CT 24 <span class=art>арт. CT.24.25</span>|Цементная штукатурная смесь "Ceresit" CT 24 предназначена для ремонта, оштукатуривания и тонкослойного выравнивания оснований из ячеистого бетона (пено- и газобетона, пено- и газосиликата) на стенах внутри и снаружи зданий, как при ручном, так и механизированном нанесении.</span></p><UL><LI>Может применяться для заполнения раковин, сколов и других дефектов ячеистого и легкого бетона, ремонта старых штукатурок и кладок и т.д.<LI>За один проход смесь можно наносить слоем толщиной от 3 до 30 мм.<LI>Обладает высокой адгезией к ячеистому бетону.<LI>Пластична и удобна в работе.<LI>Пригодна для механизированного нанесения.<LI>Пригодна для внутренних и наружных работ.<LI>Паропроницаемая, атмосферостойкая, экологически безопасная.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CT24m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CT24s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CT24r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>, <a href="/img/pic/foam/pdf/CT24f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a>.</UL><p><span class="addt">Расфасовка: мешок 25 кг||/img/pic/foam/small/CT2425.jpg|/img/pic/foam/big/CT2425.jpg
#0|Штукатурка для ячеистого бетона "Ceresit"  CT 24      |459|CT.24.25  |-|-|-||
#1|Штукатурка и ремонтная шпаклевка "Ceresit"  CT 29     |459|CT.29.25  |-|-|-||norow|Штукатурка и ремонтная шпаклевка| "Ceresit"  CT 29 <span class=art>арт. CT.29.25</span>|Цементная штукатурная смесь "Ceresit" CT 29 предназначена для ремонта, оштукатуривания и тонкослойного выравнивания цементно-известковых, цементно-песчаных, бетонных и кирпичных оснований на стенах и потолках внутри и снаружи зданий, как при ручном, так и механизированном нанесении.</span></p><UL><LI>Может применяться для заполнения раковин, выбоин, трещин, убылей и др. дефектов.<LI>За один проход смесь можно наносить слоем толщиной от 2 до 20 мм.<LI>Обладает высокой адгезией к минеральным основаниям. Содержит армирующие микроволокна.<LI>Пластична и удобна в работе.<LI>Пригодна для механизированного нанесения.<LI>Пригодна для внутренних и наружных работ.<LI>Паропроницаемая, атмосферостойкая, экологически безопасная.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CT29m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CT29s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CT29r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>, <a href="/img/pic/foam/pdf/CT29f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a>.</UL><p><span class="addt">Расфасовка: мешок 25 кг||/img/pic/foam/small/CT2925.png|/img/pic/foam/big/CT2925.png
#0|Штукатурка и ремонтная шпаклевка "Ceresit"  CT 29     |459|CT.29.25  |-|-|-||
#1|Штукатурка для фасадов "Ceresit"                      |459|CT.DP.25  |-|-|-||norow|Декоративная штукатурка для фасадов| "Ceresit Decor Plus" <span class=art>арт. CT.DP.25</span>|</span><span class="for">Для изготовления тонкослойных декоративных покрытий с комбинированной фактурой внутри и снаружи зданий</span></p><UL><LI>Может применяться на таких основаниях как бетон, цементные, цементно-известковые и гипсовые штукатурки, гипсокартон, древесностружечные плиты и т.д.<LI>Может быть использована в малоэтажном строительстве для изготовления декоративных покрытий при утеплении фасадов зданий пенополистирольными и минераловатными плитами.<LI>В зависимости от способа формирования фактуры материал позволяет получить покрытие с фактурами «короед» (бороздчатая), «камешковая» (зернистая) или «шуба» (рельефная).<LI>Полученное покрытие может быть окрашено акриловыми, силикатными и силиконовыми красками.<LI>Ударопрочная, высокопаропроницаемая, гидрофобная, морозо- и атмосферостойкая, экологически безопасная.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CTDPm.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CTDPs.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CTDPr.jpg" target=_blank title="Изображение JPG">Свидетельство о гос. регистрации</a>.</UL><p><span class="addt">Расфасовка: мешок 25 кг||/img/pic/foam/small/CTDP25.png|/img/pic/foam/big/CTDP25.png
#0|Штукатурка для фасадов "Ceresit Decor Plus"           |459|CT.DP.25  |-|-|-||

# 470|Биозащита, антигрибок
