# 174,cat174|Все наборы гаечных ключей
# 613,cat613|Наборы рожковых ключей
 1|Набор рожковых гаечных ключей 6-22 мм CrV хромированных MATRIX   |174| 8|15276    | 625| 605| 605|613|norow ltdi one|Наборы гаечных ключей| рожковых|||/img/pic/keys/small/NABOR-ROZK-HARDAX_ART_43-2-408.jpg|/img/pic/keys/big/NABOR-ROZK-HARDAX_ART_43-2-408.jpg
#0|Набор накидных ключей 6-17 мм CrV оцинкованных MATRIX            |174| 6|15331    | 598| 588| 573|615
#0|Набор накидных ключей 6-22 мм CrV оцинкованных MATRIX            |174| 8|15332    | 698| 679| 668|615
#0|Набор накидных ключей 6-22 мм CrV хромированных SPARTA           |174| 8|153755   | 320| 320| 320|615|ltdl
# 616,cat616|Наборы торцевых трубчатых ключей
 1|Наборы торцевых трубчатых гаечных ключей                         |174|10|43-2-710 | 298| 292| 284|616|norow|| (ключей-трубок)|||/img/pic/keys/small/kljuchitrub.jpg|/img/pic/keys/big/jpg
~0|Набор торцевых трубчатых ключей 6-17 мм, 1 вороток, цинк HOBBI   |174| 6|43-2-706 | 198| 192| 189|616|
 0|Набор торцевых трубчатых ключей 6-22 мм, 2 воротка, цинк HOBBI   |174|10|43-2-710 | 298| 292| 284|616|
# 617,cat617|Наборы имбусовых ключей
 1|Набор гаечных ключей имбусовых TORX-звездочка, 9 шт. T10-T50, CrV|174| 9|43-2-110 | 209| 205| 198|617|norow|| <span class=art>арт. 43-2-110</span>|</span><span class="for">Ключи угловые для работы с крепежом, оснащенным шлицом TORX (звездочка)</span></p><UL><LI>В комплектацию набора входят ключи размером Т (ТТ): №№ 10, 15, 20, 25, 27, 30, 40, 45, 50.<LI>Ключи изготовлены из высококачественной хромованадиевой стали, имеют Г-образную форму.<LI>В труднодоступных местах можно использовать удлиненный конец как рабочий.</UL><p><span class="addt">||/img/pic/keys/small/43-2-110n.jpg|/img/pic/keys/big/43-2-110n.jpg
 0|Набор ключей имбусовых TORX-звездочка, 9 шт. №№ 10-50, CrV       |174| 9|43-2-110 | 238| 233| 226|617|
 1|Набор гаечных ключей имбусовых удлиненных TORX-шестигранник      |174| 9|43-2-119 | 269| 252| 245|617|norow|| с шарниром, 9 шт., CrV<span class=art>арт. 43-2-119</span>|</span><span class="for">Ключи угловые для работы с крепежом с внутренними гранями, оснащенным шлицом типа TORX (внутренний шестигранник)</span></p><UL><LI>Ключи изготовлены из высококачественной хромованадиевой стали, имеют Г-образную форму.<LI>В труднодоступных местах можно использовать удлиненный конец как рабочий.</UL><p><span class="addt">||/img/pic/keys/small/43-2-119.jpg|/img/pic/keys/big/43-2-119.jpg
 0|Набор ключей имбусовых удлиненных TORX 6-гранник, с шарниром, CrV|174| 9|43-2-119 | 298| 292| 285|617|
#1|Набор ключей угловых имбусовых TORX-звездочка №№ 10-50           |174| 9|556911   | 439| 422| 409|617|norow|| NOX CrV, 9 шт. <span class="art">арт. 556911</span>|||/img/pic/keys/small/NABOR-IMBUSOV.jpg|/img/pic/keys/big/NABOR-IMBUSOV.jpg
 1|Наборы гаечных ключей угловых имбусовых "TORX" CrV               |174| 9|         | 398| 388| 379|617|norow|| NOX|||/img/pic/keys/small/NABOR-IMBUSOV.jpg|/img/pic/keys/big/NABOR-IMBUSOV.jpg
 0|Набор ключей имбусовых TORX-шестигранник  CrV 1.5-10 мм NOX      |174| 9|556910   | 398| 392| 385|617
 0|Набор ключей угловых имбусовых TORX-звездочка №№ 10-50 NOX CrV   |174| 9|556911   | 425| 415| 402|617
#1|Набор ключей имбусовых "HEX" шестигранник 1.5–10 мм S2 GROSS     |174| 9| 16400   |1345|1315|1285|617|norow|Набор ключей имбусовых экстрадлинных HEX шестигранник с шаром, цветные, магнит, S2, 9 шт. 1.5–10 мм| GROSS <span class=art>арт. 16400</span>|</span><span class="for">Ключи угловые экстрадлинные для работы с крепежом, оснащенным внутренним шестигранным гнездом</span></p><UL><LI>В набор входят ключи с размерами 1.5,&nbsp;2,&nbsp;2.5,&nbsp;3,&nbsp;4,&nbsp;5,&nbsp;6,&nbsp;8,&nbsp;10&nbsp;мм.<LI>Ключи изготовлены из <b>легированной стали S2</b> твердостью <b>52–56 HRC</b>, имеют Г-образную форму.<LI>Разноцветное порошковое покрытие позволяет ускорить подбор ключа и защищает его от механических повреждений и коррозии.<LI>Встроенный магнит обеспечивает надежный контакт ключа с крепежом.</UL><p><span class="addt">||/img/pic/keys/small/16400-1.jpg|/img/pic/keys/big/16400-2.jpg
#0|Набор ключей имбусовых "HEX" шестигранник 1.5–10 мм S2 GROSS     |174| 9| 16400   |1345|1315|1285|617
 1|Набор ключей имбусовых TORX-TORX "Tamper" №№ 10-50 S2 GROSS      |174| 9| 16402   |1395|1345|1315|617|norow|Набор гаечных ключей имбусовых экстрадлинных TORX-TORX "Tamper", цветные, магнит, S2, 9 шт. T10-T50| GROSS <span class=art>арт. 16402</span>|</span><span class="for">Ключи угловые экстрадлинные магнитные для работы с крепежом, оснащенным шлицом TORX-TORX (TORX-TT) "Tamper" (звездочкой с отверстием под направляющую)</span></p><UL><LI>В комплектацию набора входят ключи размером Т (ТТ): №№ 10, 15, 20, 25, 27, 30, 40, 45, 50.<LI>Ключи изготовлены из <b>легированной стали S2</b> твердостью <b>52–56 HRC</b>, имеют Г-образную форму.<LI>Разноцветное порошковое покрытие позволяет ускорить подбор ключа и защищает его от механических повреждений и коррозии.<LI>Встроенный магнит обеспечивает надежный контакт ключа с крепежом.</UL><p><span class="addt">||/img/pic/keys/small/16402-1.jpg|/img/pic/keys/big/16402-2.jpg
 0|Набор ключей имбусовых TORX-TORX "Tamper" №№ 10-50 S2 GROSS      |174| 9| 16402   |1698|1677|1655|617

#0|Набор рожковых ключей 6-32 мм CrV хромированных SPARTA          |174|12|152945   | 498| 480| 470|
#1|Набор комбинированных ключей                                     |174|11|15779    |4200|4050|3900|| norow|Набор ключей комбинированных| TRUPER 15779 JC-11M-E <span class=art>арт. 15779</span>|</span></p><UL><LI>11 ключей: 8-9-10-11-12-13-14-15-17-18-19 мм.<LI>Сталь хром-ванадий (CrV), дополнительная закалка головок, пескоструйная финишная обработка.<LI>Повышенный крутящий момент: на 80 % превосходит американский стандарт ASME B107 100.</UL><p><span class="addt">||/img/pic/keys/small/t15779.jpg|/img/pic/keys/big/t15779.jpg
#0|Набор ключей комбинированных 8-19 мм CrV TRUPER                  |174|11|15779    |4200|4050|3900|
#0|* Набор ключей имбусовых шестигранных HOBBI                     |174|10|*43-2-009|  55|  49|  46||ltdl
#1|Набор ключей имбусовых 1.5–10 мм "HEX" шестигранник CrV MATRIX   |174| 9|11233    | 298| 288| 265||norow|Набор ключей имбусовых HEX шестигранник, CrV, 9 шт. 1.5–10 мм| MATRIX <span class=art>арт. 11233</span>|</span><span class="for">Ключи угловые удлиненные, с шаром, сатинированные для работы с крепежом, оснащенным внутренним шестигранным гнездом</span></p><UL><LI>В набор входят ключи с размерами 1.5,&nbsp;2,&nbsp;2.5,&nbsp;3,&nbsp;4,&nbsp;5,&nbsp;6,&nbsp;8,&nbsp;10&nbsp;мм.<LI>Ключи изготовлены из хромванадиевой стали и укомплектованы в удобный пластиковый футляр.<LI>При работе в труднодоступных местах можно использовать удлиненный конец как рабочий.</UL><p><span class="addt">||/img/pic/keys/small/11233.jpg|/img/pic/keys/big/11233.jpg
#0|Набор ключей имбусовых 1.5–10 мм "HEX" шестигранник CrV MATRIX   |174| 9|11233    | 298| 288| 265||
#1|Набор ключей имбусовых "HEX" шестигранник 1.5–10 мм CrV HARDAX   |174| 9|43-2-109 | 189| 182| 178||norow|Набор ключей имбусовых удлиненных HEX шестигранник, CrV, 9 шт. 1.5–10 мм| HARDAX <span class=art>арт. 43-2-109</span>|</span><span class="for">Ключи угловые удлиненные для работы с крепежом, оснащенным внутренним шестигранным гнездом</span></p><UL><LI>В набор входят ключи с размерами 1.5,&nbsp;2,&nbsp;2.5,&nbsp;3,&nbsp;4,&nbsp;5,&nbsp;6,&nbsp;8,&nbsp;10&nbsp;мм.<LI>Ключи изготовлены из инструментальной хромванадиевой стали.<LI>При работе в труднодоступных местах можно использовать удлиненный конец как рабочий.</UL><p><span class="addt">||/img/pic/keys/small/43-2-109.jpg|/img/pic/keys/big/43-2-109.jpg
#0|Набор ключей имбусовых "HEX" шестигранник 1.5–10 мм CrV HARDAX   |174| 9|43-2-109 | 189| 182| 178||
#1|Набор ключей имбусовых TORX-TORX "Tamper" №№ 10-50 CrV MATRIX    |174| 9|12313    | 368| 355| 345||norow|Набор ключей имбусовых TORX-TORX "Tamper", CrV, 9 шт. T10-T50| MATRIX <span class=art>арт. 12313</span>|</span><span class="for">Ключи угловые удлиненные сатинированные для работы с крепежом, оснащенным шлицом TORX-TORX "Tamper" (звездочкой с отверстием под направляющую)</span></p><UL><LI>В комплектацию набора входят ключи размером Т (ТТ): №№ 10, 15, 20, 25, 27, 30, 40, 45, 50.<LI>Ключи изготовлены из высококачественной хромованадиевой стали твердостью 50 HRС, имеют Г-образную форму. В труднодоступных местах можно использовать удлиненный конец как рабочий.<LI>Сатинированное покрытие инструмента облегчает удерживание ключа при высоком крутящем моменте.<LI>Ключи упакованы в тканевый чехол с петлей для крепления на поясе. Чехол закреплен на картонной карте для размещения инструмента на стенде.</UL><p><span class="addt">||/img/pic/keys/small/12313.jpg|/img/pic/keys/big/12313.jpg
#0|Набор ключей имбусовых TORX-TORX "Tamper" №№ 10-50 CrV MATRIX    |174| 9|12313    | 368| 355| 345||
                                                                                                   |
#0|Набор ключей комб. 8-19 мм CrV повышенный крутящий момент TRUPER|174|11|15779    |2880|2750|2700|
#1|Набор комбинированных ключей 8-19 мм CrV хромированных SIB      |174| 8|15448   | 365| 355| 345|| norow|Наборы ключей| комбинированных|||/img/pic/keys/small/43-2-412.gif|/img/pic/keys/big/43-2-412.gif
#0|Набор комбинированных ключей 6-22 мм CrV хромированных SIB      |174|12|15452   | 485| 475| 455 |
#0|Набор ключей комбинир. 8-19 мм зеркальный хром реверсивные GROSS|174| 7|14892   |2190|1990|1950 |
#0|Набор ключей комбинированных 10-19мм CrV матовая полировка HARDAX|174| 6|43-2-412| 265| 245| 240|
#0|Набор ключей комбинированных 8-24 мм CrV матовая полировка HARDAX|174|12|43-2-612| 495| 480| 470|
