# [3ц А Е]
# 45,cat45|Электроды сварочные
 1|Проволока сварочная омедненная              |356|PT0804 | 988,00| 977,00| 965,00||norow|| марки G3Si1 пр-ва PlasmaTec <span class="art">арт. PT0804</span>|</span><span class="for">Для автоматической и полумеханизированной сварки углеродистых и низколегированных сталей с пределом текучести до 420 Н/кв.мм.</span></p><UL><LI>Сварку возможно проводить как в газовых смесях (миксах), так и в чистом СО2, в нижнем, вертикальном и потолочном положении.<LI>Проволока сварочная омедненная производится на новой шведской линии полного цикла.</UL><p><span class="addt"><b>Цена за упаковку 4 кг.</b>||/img/pic/eld/small/PT1005.jpg|/img/pic/eld/big/PT1005.jpg
 0|Проволока сварочная 0,8 мм G3Si1, упак. 4 кг|356|PT0804 | 988,00| 977,00| 965,00||
#0|Проволока сварочная 1,2 мм D270, упак. 15 кг|356|*SP1215|2190,00|2190,00|2190,00||blkt2
#1|Проволока сварочная омедненная ER70S-6      |356|DK.0805| 998,00| 998,00| 998,00||norow|| DEKA <span class="art">арт. DK.0805</span>|Омедненная стальная сварочная проволока с рядной намоткой для полуавтоматической сварки.<br><br><b>Цена за упаковку 5 кг.</b>||/img/pic/eld/small/ER70S-6.jpg|/img/pic/eld/big/jpg
#0|Проволока свар. омедн. 0,8 мм ER70S-6,  5 кг|356|DK.0805| 998,00| 998,00| 998,00||
#1|Проволока сварочная 0,8 мм D200, упак. 15 кг|356|ST1218|2398,00|2345,00|2290,00||norow|Проволока сварочная омедненная| СВ-08Г2С|Омедненная стальная сварочная проволока с рядной намоткой для полуавтоматической сварки.<br>Цена за 1 упаковку.||/img/pic/eld/small/ER70S-6.jpg|/img/pic/eld/big/jpg
#0|Проволока сварочная 1,2 мм D300, упак. 18 кг|356|ST1218|2398,00|2345,00|2290,00||
#1|Проволока сварочная 1.0 мм G3Si1, упак. 5 кг|356|PT1005| 835,00| 815,00| 795,00||norow|Проволока сварочная омедненная| марки G3Si1 пр-ва PlasmaTec <span class="art">арт. PT1005</span>|</span><span class="for">Для автоматической и полумеханизированной сварки углеродистых и низколегированных сталей с пределом текучести до 420 Н/кв.мм.</span></p><UL><LI>Сварку возможно проводить как в газовых смесях (миксах), так и в чистом СО2, в нижнем, вертикальном и потолочном положении.<LI>Проволока сварочная омедненная производится на новой шведской линии полного цикла.</UL><p><span class="addt"><b>Цена за упаковку 5 кг.</b>||/img/pic/eld/small/PT1005.jpg|/img/pic/eld/big/PT1005.jpg
#1|Проволока сварочная 1.0 мм G3Si1, упак. 5 кг|356|PT1005| 835,00| 815,00| 795,00||norow|Проволока сварочная омедненная| марки G3Si1 пр-ва PlasmaTec|</span><span class="for">Для автоматической и полумеханизированной сварки углеродистых и низколегированных сталей с пределом текучести до 420 Н/кв.мм.</span></p><UL><LI>Сварку возможно проводить как в газовых смесях (миксах), так и в чистом СО2, в нижнем, вертикальном и потолочном положении.<LI>Проволока сварочная омедненная производится на новой шведской линии полного цикла.</UL><p><span class="addt"><b>Цена за упаковку 5 кг.</b>||/img/pic/eld/small/PT1005.jpg|/img/pic/eld/big/PT1005.jpg
#0|Проволока сварочная 0,8 мм G3Si1, упак. 5 кг|356|PT0805| 698,00| 688,00| 677,00||
#0|Проволока сварочная 1.0 мм G3Si1, упак. 5 кг|356|PT1005| 835,00| 815,00| 795,00||

# 279,cat279|Сварочный инвертор
 1|Сварочный аппарат Elitech ИС 220М  |279|E.IS 220M | 5998| 5890| 5795||norow|Сварочный аппарат (инвертор)          | Elitech ИС 220М |</span></p><UL><LI>Подходит как для бытовых нужд, так и в профессиональном использовании для сварки металлов высокой толщины.<LI>Может применяться для сварки углеродистых, нержавеющих сталей и чугуна.<LI>Возможность аргонодуговой сварки «TIG».<LI>Возможность работы при пониженном напряжении – 160 Вт позволяет использовать инвертор в местах с низким качеством электроснабжения.<LI>Использование современной технологии <b>IGBT</b> позволяет получить стабильную дугу и качественный сварной шов.<LI>Имеется <a href="/img/pic/eld/big/el-is-220m.pdf" target=_blank title="Документ PDF">Руководство пользователя</a>.</UL><DL><DT>Питающая сеть:<DD>160 .. 242 В, 50 Гц<DT>Ток сварки:<DD>постоянный, 10 .. 200 А<DT>Потребляемая мощность:<DD>до 4,6 кВт<DT>Диаметр электродов:<DD>до 5,0 мм<DT>Масса: <DD>4.1 кг</DL>||/img/pic/eld/small/el-is-220m.jpg|/img/pic/eld/big/el-is-220m.jpg
 0|Сварочный аппарат Elitech ИС 220М  |279|E.IS 220M | 5998| 5890| 5795||
#1|Сварочный инвертор ТОРУС-200       |279|TOR200    |13990|13700|13500||norow|Сварочный инвертор           | ТОРУС-200 <span class=art>арт. TOR200</span>|</span></p><UL><LI>Простой в обращении, легкий и экономичный сварочный инвертор, способный работать даже при нестабильной электрической сети.<LI>Имеет разные режимы работы (MMA и TIG), подходит для самых разных условий сварки.</UL><DL><DT>Питающая сеть:<DD>165 .. 242 В, 50 Гц<DT>Ток сварки:<DD>постоянный, 30 .. 200 А<DT>Регулировка сварочного тока:<DD>плавная<DT>Потребляемая мощность:<DD>до 5,2 кВт<DT>Диаметр электродов:<DD>1,6 .. 5,0 мм<DT>Вес:<DD>5,3 кг<DT>Габариты:<DD>125 х 190 х 300 мм</DL>||/img/pic/eld/small/TOR200.jpg|/img/pic/eld/big/TOR200.jpg
#0|Сварочный инвертор ТОРУС-200       |279|TOR200    |13990|13700|13500||
#1|Сварочный аппарат ADA IronWeld 200 |279|A00352    |     |     |     ||norow|Сварочный аппарат инверторный| ADA IronWeld 200, в кейсе <span class=art>арт. A00352</span>|</span></p><UL><LI>IronWeld 200 разработан специально для использования в повседневной домашней работе, для ремонтных работ, обустройстве участка и т.п.<LI>Небольшой объем и малый вес; легкое зажигание дуги и перенос металла; наличие различных схем защиты от перегрева, перенапряжения, падения напряжения, чрезмерного тока и т.д.<LI>Комплектация: инверторный аппарат; молоток-щетка; маска сварщика; держатель электродов с 2,5 м сварочного кабеля; заземляющий зажим с 1,5 м кабеля заземления; руководство по эксплуатации; пластиковый кейс.</UL><DL><DT>Питание:<DD>230 В, 50 Гц<DT>Диапазон сварочного тока:<DD>10 .. 200 А<DT>Максимальное напряжение холостого хода:<DD>68 В<DT>Рабочий цикл:<DD>60%<DT>Максимальная потребляемая мощность:<DD>6,2 кВА<DT>Диаметр электродов:<DD>2,0 .. 5,0 мм<DT>Габариты:<DD>320 х 220 х 125 мм</DL>||/img/pic/eld/small/A00352f.jpg|/img/pic/eld/big/A00352f.jpg
#0|Сварочный аппарат ADA IronWeld 200 |279|A00352    |     |     |     ||nocart
#1|Сварочный аппарат ADA IronWeld 220 |279|A00353    |     |     |     ||norow|Сварочный аппарат инверторный| ADA IronWeld 220, в кейсе <span class=art>арт. A00353</span>|</span></p><UL><LI>IronWeld 220 разработан специально для использования в повседневной домашней работе, для ремонтных работ, обустройстве участка и т.п.<LI>Небольшой объем и малый вес; легкое зажигание дуги и перенос металла; наличие различных схем защиты от перегрева, перенапряжения, падения напряжения, чрезмерного тока и т.д.<LI>Комплектация: инверторный аппарат; молоток-щетка; маска сварщика; держатель электродов с 2,5 м сварочного кабеля; заземляющий зажим с 1,5 м кабеля заземления; руководство по эксплуатации; пластиковый кейс.</UL><DL><DT>Питание:<DD>230 В, 50 Гц<DT>Диапазон сварочного тока:<DD>10 .. 220 А<DT>Максимальное напряжение холостого хода:<DD>68 В<DT>Рабочий цикл:<DD>60%<DT>Максимальная потребляемая мощность:<DD>7,1 кВА<DT>Диаметр электродов:<DD>2,0 .. 5,0 мм<DT>Габариты:<DD>320 х 220 х 125 мм</DL>||/img/pic/eld/small/A00353f.jpg|/img/pic/eld/big/A00353f.jpg
#0|Сварочный аппарат ADA IronWeld 220 |279|A00353    |     |     |     ||nocart
#1|Сварочный инвертор           |279|TOR235||neat|| ТОРУС-235 ПРИМА <span class=art>арт. TOR235</span>|</span></p><UL><LI>Профессиональный сварочный инвертор, легкий и экономичный, способный работать даже при нестабильной электрической сети.<LI>Имеет возможность работать непрерывно на максимальных токах как при очень низких, так и при высоких температурах воздуха.</UL><DL><DT>Питающая сеть:<DD>165 .. 242 В, 50 Гц<DT>Ток сварки:<DD>постоянный, 20 .. 235 А<DT>Регулировка сварочного тока:<DD>плавная<DT>Цифровой индикатор тока:<DD>есть<DT>Потребляемая мощность:<DD>до 7,6 кВт<DT>Диаметр электродов:<DD>1,6 .. 5,0 мм<DT>Вес:<DD>5,7 кг<DT>Габариты:<DD>125 х 190 х 300 мм</DL>||/img/pic/eld/small/TOR235.jpg|/img/pic/eld/big/TOR235.jpg

# 217,cat217|Держатель электродов
 1|Держатели электродов (электрододержатели)              |217|ELD.20     | 425| 412| 402||norow|| САТУРН|</span><span class="for">Для зажима и удержания электродов при ручной электродуговой сварке плавящимся покрытым металлическим электродом</span>Пластмассовые ручки выполняют роль изолятора.||/img/pic/eld/small/ed_sat.jpg|/img/pic/eld/big/ed_sat.jpg
 0|Электрододержатель САТУРН ЭД-20, ток до 200 А          |217|ELD.20     | 425| 412| 402|
 0|Электрододержатель САТУРН ЭД-31, ток до 315 А          |217|ELD.31     | 455| 444| 435|
 0|Электрододержатель САТУРН ЭД-50, ток до 500 А          |217|ELD.50     | 498| 485| 477|
 0|Электрододержатель ESAB, ток до 500 А                  |217|ESAB.ELD.50|3998|3945|3888||blue
 1|Зажим "масса" для сварочного аппарата                  |217|MASD.50    | 298| 288| 277||norow|Клемма заземления для сварочного аппарата (зажим "масса")| КЗ-500 "ДОКА", 500А <span class=art>арт. MASD.50</span>|</span><span class="for">Для присоединения сварочного кабеля к заземлению</span><span class="addt">Клемма заземления КЗ-500 обеспечивает надежный и плотный контакт, что является одним из важнейших условий легкого поджига дуги, стабильности ее характеристик и достижения высокого качества работ.||/img/pic/eld/small/massdoka.jpg|/img/pic/eld/big/massdoka.jpg
 0|Клемма заземления (зажим "масса") КЗ-500 "ДОКА", 500 А |217|MASD.50    | 298| 288| 277|
#1|Клемма заземления (зажим "масса")                      |217|MAS.20     | 198| 192| 185||norow|Клеммы заземления для сварочного аппарата (зажимы "масса")| САТУРН|Клеммы заземления предназначены для присоединения сварочного кабеля к свариваемой детали, для заземления при выполнений электросварочных работ.||/img/pic/eld/small/kz_sat.jpg|/img/pic/eld/big/kz_sat.jpg
#0|Клемма заземления (зажим "масса") КЗ-20 САТУРН, 200 А  |217|MAS.20     | 198| 192| 185|
#0|Клемма заземления (зажим "масса") КЗ-50 САТУРН, 500 А  |217|MAS.50     | 298| 282| 275|
#1|Зажим "масса" для сварочного аппарата Н-031-В          |217|SMA01      | 375| 355| 340||norow|Клемма заземления для сварочного аппарата (зажим "масса")| Н-031-В, медь, 500А <span class=art>арт. SMA01</span>|||/img/pic/eld/small/mass.jpg|/img/pic/eld/big/jpg
#0|Клемма заземления (зажим "масса") Н-031-В, медь, 500А  |217|SMA01      | 375| 355| 340|
#1|Держатели электродов (электрододержатели)              |217|ELD.20     | 315| 305| 295||norow|| САТУРН|Держатели электродов предназначены для зажима и удержания электродов при ручной электродуговой сварке плавящимся покрытым металлическим электродом. Пластмассовые ручки выполняют роль изолятора.||/img/pic/eld/small/ed_sat.jpg|/img/pic/eld/big/ed_sat.jpg
#1|Кабельный силовой разъем (вставка)                     |217|SKR.25V    | 178| 172| 168||norow|Кабельный силовой разъем| (вставка)|Cоединители кабельные разъемные для сварки с фиксирующим устройством предназначены для надежного и безопасного присоединения кабелей друг с другом или к источнику питания.||/img/pic/eld/small/skr-vstavka.jpg|/img/pic/eld/big/skr-vstavka.jpg
#0|Кабельный силовой разъем (вставка) СКР-25, ток до 250 А|217|SKR.25V    | 178| 172| 168|
#0|Кабельный силовой разъем (вставка) СКР-31, ток до 400 А|217|SKR.31V    | 310| 300| 290|
#1|Кабельный силовой разъем (гнездо)                      |217|SKR.25G    | 178| 172| 168||norow|Кабельный силовой разъем|  (гнездо)|Cоединители кабельные разъемные для сварки с фиксирующим устройством предназначены для надежного и безопасного присоединения кабелей друг с другом или к источнику питания.||/img/pic/eld/small/skr-gn.jpg|/img/pic/eld/big/skr-gn.jpg
#0|Кабельный силовой разъем (гнездо)  СКР-25, ток до 250 А|217|SKR.25G    | 178| 172| 168|
#0|Кабельный силовой разъем (гнездо)  СКР-31, ток до 400 А|217|SKR.31G    | 310| 300| 290|
#1|Комплект сварочных проводов № 1                        |217|KSP1       |1890|1890|1890||norow|Комплект сварочных проводов| № 1 <span class=art>арт. KSP1</span>|</span></p><UL><LI>Кабели КГ-16, 2 шт. по 3 м<LI>Кабельный силовой разъем (вставка) СКР-25<LI>Электрододержатель<LI>Клемма заземления ("масса")</UL><p><span class="addt">||/img/pic/eld/small/KSP1-KSP2.jpg|/img/pic/eld/big/KSP1-KSP2.jpg
#0|Комплект сварочных проводов № 1                        |217|KSP1       |1890|1890|1890|||
#1|Комплект сварочных проводов № 2                        |217|KSP2       |2390|2390|2390||norow|Комплект сварочных проводов| № 2 <span class=art>арт. KSP2</span>|</span></p><UL><LI>Кабели КГ-25, 2 шт. по 3 м<LI>Кабельный силовой разъем (вставка) СКР-31<LI>Электрододержатель<LI>Клемма заземления ("масса")</UL><p><span class="addt">||/img/pic/eld/small/KSP1-KSP2.jpg|/img/pic/eld/big/KSP1-KSP2.jpg
#0|Комплект сварочных проводов № 2                        |217|KSP2       |2390|2390|2390|||
#1|Держатель электродов                                 |217|SD02  | 398|375|265||Держатель электродов| Н026В, медь, 500А <span class=art>арт. SD02</span>|Держатель электродов предназначен для зажима и удержания электродов. Пластмассовые ручки выполняют роль изолятора.||/img/pic/eld/small/91455.jpg|/img/pic/eld/big/jpg
#1|Держатель электродов                                 |217|SD02  | 398|||Держатель электродов| Н026В, медь, 500А <span class=art>арт. SD02</span>|Держатель электродов предназначен для зажима и удержания электродов. Пластмассовые ручки выполняют роль изолятора.||/img/pic/eld/small/91455.jpg|/img/pic/eld/big/jpg
#1|Держатель электродов                                 |217|91455 | 215|||Держатель электродов| SiB, 500А <span class=art>арт. 91455</span>|Держатель электродов предназначен для зажима и удержания электродов. Пластмассовые ручки выполняют роль изолятора.||/img/pic/eld/small/91455n.jpg|/img/pic/eld/big/91455n.jpg
#1|Держатель электродов                                 |217|A00362|    ||nocart|Держатель электродов| ADA HOLDER SET 3M с кабелем <span class=art>арт. A00362</span>|</span></p><UL><LI>Держатель электродов предназначен для зажима и удержания электродов.<LI>Длина кабеля 3 метра, сечение 16 кв.мм.<LI>Пластмассовые ручки выполняют роль изолятора.||/img/pic/eld/small/A00362.png|/img/pic/eld/big/A00362.png
#1|Зажим "масса" для сварочного аппарата Н-031-В        |217|SMA01 | 375|||Зажим "масса" для сварочного аппарата| Н-031-В, медь, 500А <span class=art>арт. SMA01</span>|||/img/pic/eld/small/mass.jpg|/img/pic/eld/big/jpg
#1|Кабель с зажимом заземления ("масса")                |217|A00363|    ||nocart|| ADA CLAMP SET 3M <span class=art>арт. A00363</span>|</span></p><UL><LI>Кабель с зажимом заземления ADA CLAMP SET 3M служит для подключения сварочного аппарата к свариваемой конструкции.<LI>Длина кабеля 3 метра, сечение 16 кв.мм.<LI>Крепится при помощи металлической прищепки.||/img/pic/eld/small/A00363.png|/img/pic/eld/big/A00363.png
#1|Магнитный держатель                                  |217|A00361|    ||nocart|| ADA MAGNETIC HOLDER <span class=art>арт. A00361</span>|Магнитный держатель ADA MAGNETIC HOLDER предоставляет дополнительное удобство при проведении сварочных, слесарных и паяльных работ с металлическими деталями. ADA MAGNETIC HOLDER удерживает скрепляемые детали под нужным углом: 45°, 90°, 135°. При использовании магнитного держателя работы можно выполнять самостоятельно, без посторонней помощи даже в труднодоступных местах. При использовании нескольких магнитных держателей можно собрать и закрепить перед обработкой сложные конструкции.||/img/pic/eld/small/A00361.png|/img/pic/eld/big/A00361.png
#1|Кабельный силовой разъем (вставка) СКР-25, ток до 250 А|217|VS25| 290|||Кабельный силовой разъем| (вставка)|Cоединители кабельные разъемные для сварки с фиксирующим устройством предназначены для надежного и безопасного присоединения кабелей друг с другом или к источнику питания.<br><b>Цена за пару.</b>||/img/pic/eld/small/VS25-31.jpg|/img/pic/eld/big/VS25-31.jpg
#0|Кабельный силовой разъем (вставка) СКР-31, ток до 400 А|217|VS31| 390|

# 180,cat180|Газовые редукторы
 1|Редуктор кислородный одноступенчатый                  |180|R.OX.512|1098,00|1075,00|1060,00||norow|Регулятор давления (редуктор) баллонный кислородный одноступенчатый| БКО-50-12,5 "Редиус" мини <span class=art>арт. R.OX.512</span>|Предназначен для нормализации давления кислорода, поступающего из баллона, во время проведения газопламенных работ всех видов</span></p><DL><DT>Наибольшая пропускная способность:<DD>50 куб.м/ч<DT>Наибольшее давление газа на входе:<DD>20 Мпа (200 кГ/кв.см)<DT>Наибольше рабочее давление газа:<DD>1.25 Мпа (12.5 кГ/кв.см)<DT>Коэффициент неравномерности рабочего давления, <b>i</b>:<DD>не более 0,3<DT>Коэффициент перепада рабочего давления, <b>R</b>:<DD>не более 0,3<DT>Давление срабатывания предохранительного клапана:<DD>2.5 Мпа (25 кГ/кв.см)<DT>Масса комплекта:<DD>0.73 кг<DT>Габаритные размеры:<DD>155 х 120 х 155 мм</DL><p><span class="addt">||/img/pic/eld/small/R_OX_512.jpg|/img/pic/eld/big/R_OX_512.jpg
 0|Редуктор кислородный одноступенчатый БКО-50-12,5 мини |180|R.OX.512|1298,00|1277,00|1255,00||
 1|Редуктор кислородный одноступенчатый                  |180|R.OX.502|1198,00|1175,00|1160,00||norow|Регулятор давления (редуктор) баллонный кислородный одноступенчатый| БКО-50-2     "Нева"   мини <span class=art>арт. R.OX.502</span>|Предназначен для нормализации давления кислорода, поступающего из баллона, во время проведения газопламенных работ всех видов</span></p><DL><DT>Наибольшая пропускная способность:<DD>50 куб.м/ч<DT>Наибольшее давление газа на входе:<DD>20 Мпа (200 кГ/кв.см)<DT>Наибольше рабочее давление газа:<DD>1.25 Мпа (12.5 кГ/кв.см)<DT>Коэффициент неравномерности рабочего давления, <b>i</b>:<DD>не более 0,3<DT>Коэффициент перепада рабочего давления, <b>R</b>:<DD>не более 0,3<DT>Давление срабатывания предохранительного клапана:<DD>2.5 Мпа (25 кГ/кв.см)<DT>Масса комплекта:<DD>0.65 кг<DT>Габаритные размеры:<DD>145 х 140 х  93 мм</DL><p><span class="addt">||/img/pic/eld/small/R_OX_502.png|/img/pic/eld/big/R_OX_502.png
 0|Редуктор кислородный одноступенчатый БКО-50-2    мини |180|R.OX.502|1398,00|1368,00|1354,00||
 1|Редуктор пропановый  одноступенчатый                  |180|R.PR.52 | 798,00| 779,00| 762,00||norow|Регулятор давления (редуктор) баллонный пропановый  одноступенчатый| БПО-5-2      "Нева"   мини <span class=art>арт. R.PR.52 </span>|Предназначен для нормализации давления пропана, поступающего из баллона, во время проведения газопламенных работ всех видов</span></p><DL><DT>Наибольшая пропускная способность:<DD>5.0 куб.м/ч<DT>Наибольшее давление газа на входе:<DD>2.5 Мпа (25 кГ/кв.см)<DT>Наибольше рабочее давление газа:<DD>0.3 Мпа (3.0 кГ/кв.см)<DT>Коэффициент неравномерности рабочего давления, <b>i</b>:<DD>не более 0,3<DT>Коэффициент перепада рабочего давления, <b>R</b>:<DD>не более 0,3<DT>Масса комплекта:<DD>0.34 кг<DT>Габаритные размеры:<DD>135 х 105 х  96 мм</DL><p><span class="addt">||/img/pic/eld/small/R_PR_52.png|/img/pic/eld/big/R_PR_52.png
 0|Редуктор пропановый  одноступенчатый БПО-5-2     мини |180|R.PR.52 | 888,00| 869,00| 855,00||
#1|Редуктор кислородный одноступенчатый                  |180|R.OX.504|1775,00|1725,00|1685,00||norow|Регулятор давления (редуктор) баллонный кислородный одноступенчатый| БКО-50-4         <span class=art>арт. R.OX.504</span>|Предназначен для нормализации давления кислорода, поступающего из баллона, во время проведения газопламенных работ всех видов</span></p><UL><LI>Отдельный редуцирующий узел с фильтрующим элементом.<LI>Диаметр чувствительного элемента (мембраны) 46 мм</UL><DL><DT>Наибольшая пропускная способность:<DD>50 куб.м/ч<DT>Наибольшее давление газа на входе:<DD>20 Мпа (200 кГ/кв.см)<DT>Наибольше рабочее давление газа:<DD>1.25 Мпа (12.5 кГ/кв.см)<DT>Коэффициент неравномерности рабочего давления, <b>i</b>:<DD>не более 0,3<DT>Коэффициент перепада рабочего давления, <b>R</b>:<DD>не более 0,3<DT>Давление срабатывания предохранительного клапана:<DD>2.5 Мпа (25 кГ/кв.см)<DT>Масса комплекта:<DD>1.53 кг<DT>Габаритные размеры:<DD>135 х 141 х 133 мм</DL><p><span class="addt">||/img/pic/eld/small/R_OX_504.jpg|/img/pic/eld/big/R_OX_504.jpg
#0|Редуктор кислородный одноступенчатый БКО-50-4         |180|R.OX.504|1775,00|1725,00|1685,00||
